scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Barisal,1,9,8.798385,f,0,2930891,2930891,0.698829,3,t,Barguna; Jhalokati; Pirojpur,25eb0c2f-8174-4053-a4a2-08cb117e2fa9,e1bf0185-5de5-484f-b84d-761335ecbade
Barisal,2,5,5.394235,f,0,1796911,1796911,0.627282,46,t,Patuakhali,8fc07d6f-ad68-4cd3-84f6-e1d29da6a587,e1bf0185-5de5-484f-b84d-761335ecbade
Barisal,3,6,5.901645,f,0,1965938,1965938,0.509775,73,t,Bhola,594a9180-45ac-4c29-99c9-46a2c6244cb5,e1bf0185-5de5-484f-b84d-761335ecbade
Barisal,4,8,7.905735,f,0,2633534,2633534,0.633049,35,t,Barisal,2f3d5b05-7938-4560-affc-fd78e1552ec9,e1bf0185-5de5-484f-b84d-761335ecbade
Bogra,1,7,7.033630,f,0,2080108,2080108,0.711826,1,t,Adamdighi; Bogra Sadar; Dhupchanchia; Kahaloo; Shajahanpur; Shibganj,6a0f949d-8f1a-46bc-a0ba-9ad4b0baffbc,0c1a6a97-1e13-417a-bb6a-8e912bff00d3
Bogra,2,6,5.966370,f,0,1764479,1764479,0.644519,1,t,Dhunat; Gabtali; Nandigram; Sariakandi; Sherpur; Sonatola,ac512527-6e7a-415f-aeef-a66a9892372c,0c1a6a97-1e13-417a-bb6a-8e912bff00d3
Brahamanbaria,1,6,6.120305,f,0,1900693,1900693,0.771500,1,t,Akhaura; Ashuganj; Bijoynagar; Brahmanbaria Sadar; Nasirnagar; Sarail,8fbe7677-8cc7-43cd-bc73-2c47755396db,531aa11c-1e65-4a88-bd3d-0fe226fd520f
Brahamanbaria,2,5,4.879695,f,0,1515415,1515415,0.575332,1,t,Banchharampur; Kasba; Nabinagar,6757a61a-0742-4b57-a1ba-e832738d790e,531aa11c-1e65-4a88-bd3d-0fe226fd520f
Chittagong,1,9,8.816225,f,0,2867785,2867785,0.534391,12,t,Cox's Bazar,4da8e941-9eb2-44b8-ae8e-014617882d6f,65838bca-f386-4200-b6ae-91c1f125cf79
Chittagong,1,6,6.218136,f,0,2032914,2032914,0.657841,6,t,Bakalia; Bayejid Bostami; Chandgaon; Chittagong Port; Double Mooring; Halishahar; Hathazari; Khulshi; Kotwali; Panchlaish; Patenga,9935f0a7-ab76-40aa-bd30-1ad946615c47,bc9fbbc9-6785-4e04-806c-caf94c47d956
Chittagong,2,6,6.091285,f,0,1991442,1991442,0.800992,7,t,Banshkhali; Chandanaish; Lohagara; Satkania,12ed4d78-f530-4ec7-a763-51146745939e,bc9fbbc9-6785-4e04-806c-caf94c47d956
Chittagong,2,5,4.694992,f,0,1527210,1527210,0.785269,3,t,Khagrachhari; Rangamati,665648c1-d8bb-4148-85b4-9db134e99942,65838bca-f386-4200-b6ae-91c1f125cf79
Chittagong,3,6,6.139145,f,0,2007089,2007089,0.745835,9,t,Anowara; Boalkhali; Patiya; Rangunia,39eaa64b-5d79-4760-9dc0-16df80b59f4e,bc9fbbc9-6785-4e04-806c-caf94c47d956
Chittagong,3,8,8.093775,f,0,2632783,2632783,0.695083,28,t,Chandpur,3c94cf39-6fa5-4bb5-8b34-c31a4a13a1f7,65838bca-f386-4200-b6ae-91c1f125cf79
Chittagong,4,5,4.635035,f,0,1515346,1515346,0.740299,2,t,Fatikchhari; Raozan,9db5a752-9c8c-42ef-a2ac-77c6e91537e6,bc9fbbc9-6785-4e04-806c-caf94c47d956
Chittagong,4,6,6.222308,f,0,2024023,2024023,0.626799,16,t,Lakshmipur,055186f1-5415-4f81-9874-696fb8eead5e,65838bca-f386-4200-b6ae-91c1f125cf79
Chittagong,5,7,7.172700,f,0,2333171,2333171,0.356883,8,f,Bandarban; Feni,6d70b556-b87e-4e5c-b645-9de01c185c30,65838bca-f386-4200-b6ae-91c1f125cf79
Chittagong,5,6,5.916399,f,0,1934266,1934266,0.446953,8,t,Mirsharai; Pahartali; Sandwip; Sitakunda,3c893825-ee71-435b-b5f4-ad51b5323f6e,bc9fbbc9-6785-4e04-806c-caf94c47d956
Comilla,1,6,6.351359,f,0,2040484,2040484,0.647810,1,t,Barura; Brahman Para; Burichang; Chandina; Comilla Adarsha Sadar,91227b91-6d15-4435-ba48-b433165808a3,06e2585c-14ed-4345-88b7-a0dbb9774f12
Comilla,2,7,6.845281,f,0,2199165,2199165,0.841518,1,t,Chauddagram; Comilla Sadar Dakshin; Laksam; Manoharganj; Nangalkot,a7987a30-4bab-4c6c-aaab-920fd64ccbcc,06e2585c-14ed-4345-88b7-a0dbb9774f12
Comilla,3,7,6.803360,f,0,2185697,2185697,0.810853,1,t,Daudkandi; Debidwar; Homna; Meghna; Muradnagar; Titas,d9755b1e-32b9-4d22-b273-6bafce70ade6,06e2585c-14ed-4345-88b7-a0dbb9774f12
Dhaka,1,9,9.121762,f,0,2734005,2734005,0.774576,1,t,Narsingdi,22e84a87-443b-4909-a263-9bf2c2772b60,532d1ba8-7a54-451b-b7e0-fd8700db33c5
Dhaka,1,7,6.828412,f,0,2073457,2073457,0.828861,1,t,Bangshal; Chak Bazar; Demra; Gendaria; Jatrabari; Kadamtali; Khilgaon; Kotwali; Motijheel; Paltan; Ramna; Rampura; Sabujbagh; Shahbagh; Shyampur; Sutrapur,bbbf682f-7060-4f88-9e8e-28de6da5835f,7ba0b3db-acfe-4c6b-bb25-0d73a4a4a988
Dhaka,2,7,7.042460,f,0,2138453,2138453,0.781422,1,t,Adabor; Cantonment; Darus Salam; Dhanmondi; Hazaribagh; Kafrul; Kalabagan; Mirpur; Mohammadpur; Pallabi; Shah Ali; Sher-e-bangla Nagar; Tejgaon; Turag,82f2b1cd-0a1c-428e-84ef-11b48d038a73,7ba0b3db-acfe-4c6b-bb25-0d73a4a4a988
Dhaka,2,9,8.879903,f,0,2661514,2661514,0.746913,1,t,Gopalganj; Madaripur,b88b2886-b084-43ed-90f5-3360fbd45310,532d1ba8-7a54-451b-b7e0-fd8700db33c5
Dhaka,3,7,7.441269,f,0,2230322,2230322,0.741671,1,t,Faridpur,e21578bc-7a50-4681-b918-bc8e64055b8e,532d1ba8-7a54-451b-b7e0-fd8700db33c5
Dhaka,3,7,7.089886,f,0,2152854,2152854,0.766195,1,t,Kamrangir Char; Keraniganj; Lalbagh; New Market,065c4570-c98d-4257-9232-e2b587a6fc71,7ba0b3db-acfe-4c6b-bb25-0d73a4a4a988
Dhaka,4,6,6.057492,f,0,1839366,1839366,0.754936,1,t,Badda; Biman Bandar; Dakshinkhan; Gulshan; Khilkhet; Tejgaon Ind. Area; Uttar Khan; Uttara,fca91cde-0ca7-4b15-8a9f-de34f0d3632e,7ba0b3db-acfe-4c6b-bb25-0d73a4a4a988
