scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Alberta,1,5,5.136060,f,0,596629,596629,0.842188,1,t,Athabasca--Grande Prairie--Pe*; Banff--Jasper--Rocky Mountain*; Red Deer,5fbe9382-a2e0-4ed5-895e-8698cf39e145,16819779-8de0-4ac5-97bd-358097805af0
Alberta,2,6,5.863940,f,0,681183,681183,0.677111,1,t,Camrose--Drumheller; Lethbridge--Medicine Hat; Wood Buffalo--Cold Lake,fd19e25d-7305-4930-abb6-21bb5a3b5a1d,16819779-8de0-4ac5-97bd-358097805af0
British Columbia,1,9,9.157052,f,0,1047056,1047056,0.675584,1,t,Cariboo; Kootenay; Northeast / Nord-est; Thompson--Okanagan,d443af0c-8610-4908-9e48-40a3b12f939b,fa2e8e4a-5275-405a-bb49-c9c56ac95da4
British Columbia,2,9,8.842948,f,0,1011140,1011140,0.558557,1064,t,Nechako; North Coast / Côte-nord; Vancouver Island and Coast / *,f5c9fe44-e1fa-4b74-88c3-ed1c36e5f111,fa2e8e4a-5275-405a-bb49-c9c56ac95da4
Calgary,1,6,6.000878,f,0,690166,690166,0.850824,1,t,sub:Calgary — drawn district 1 (pop 690166),b0f08539-2246-40a7-9807-b2b77d2886e0,4bc55318-20d8-4d66-8919-aba97a1cb953
Calgary,1,3,3.000000,t,0,299752,299752,0.766328,1,t,Airdrie; Beiseker; Black Diamond; Carstairs; Chestermere; Cochrane; Cremona; Crossfield; Didsbury; Eden Valley 216; Foothills No. 31; High River; Irricana; Longview; Mountain View County; Okotoks; Olds; Rocky View County; Sundre; Tsuu T'ina Nation 145 (Sarcee*; Turner Valley,ac4a14b7-46b7-4500-9cd8-6327f43ebf5b,84ed8916-c546-44b7-9390-4e3420b50c5c
Calgary,2,6,5.999122,f,0,689964,689964,0.884439,1,t,sub:Calgary — drawn district 2 (pop 689964),896dfe73-fcbd-4827-94b6-09ab2150e0e3,4bc55318-20d8-4d66-8919-aba97a1cb953
Canada,1,9,9.199533,f,0,1023297,1023297,0.383459,901,t,Nova Scotia,3007d38c-d31d-4424-9a37-59c6e09c7090,70f5b9f3-48b5-4be7-8045-f62fb883343b
Canada,2,9,8.838985,f,0,983192,983192,0.593998,331,t,New Brunswick; Prince Edward Island,5bbde470-2d80-4001-a876-af3efdd106c6,70f5b9f3-48b5-4be7-8045-f62fb883343b
Canada,3,6,5.961482,f,0,663117,663117,0.430004,4481,t,Newfoundland and Labrador; Northwest Territories; Nunavut; Yukon,99353160-18e3-4d4f-b32c-c8c052bdcb90,70f5b9f3-48b5-4be7-8045-f62fb883343b
Edmonton,1,4,4.013951,t,0,476694,476694,0.761585,1,t,Alexander 134; Argentia Beach; Beaumont; Betula Beach; Bon Accord; Brazeau County; Breton; Calmar; Crystal Springs; Devon; Drayton Valley; Ermineskin 138; Fort Saskatchewan; Gibbons; Golden Days; Grandview; Itaska Beach; Kapasiwin; Lakeview; Leduc; Leduc County; Legal; Louis Bull 138B; Ma-Me-O Beach; Millet; Morinville; Norris Beach; Parkland County; Pigeon Lake 138A; Point Alison; Poplar Bay; Redwater; Seba Beach; Silver Beach; Spring Lake; Spruce Grove; St. Albert; Stony Plain; Stony Plain 135; Strathcona County; Sturgeon County; Sundance Beach; Thorsby; Wabamun; Wabamun 133A; Wabamun 133B; Warburg; Wetaskiwin; Wetaskiwin County No. 10,6621f8f5-c0cf-4135-a43d-45614a4a8ebf,d8b09a65-7665-4eaa-ad32-2c5787a3b4f1
Edmonton,2,9,8.986049,f,0,1067177,1067177,0.845660,1,t,Edmonton,f0694303-d369-4e10-b04c-6cd1021bd823,d8b09a65-7665-4eaa-ad32-2c5787a3b4f1
Hamilton--Niagara Peninsula,1,7,7.078261,f,0,798573,798573,0.856901,1,t,Burlington; Hamilton,d2522e10-2e8b-4eca-b93e-c4ecd104e1c2,ae00b97b-3e30-4980-a142-ba43981f49ae
Hamilton--Niagara Peninsula,2,7,6.921739,f,0,780914,780914,0.613343,16,t,Brant; Brantford; Fort Erie; Grimsby; Haldimand County; Lincoln; New Credit (Part) 40A; New Credit (Part) 40A; Niagara Falls; Niagara-on-the-Lake; Norfolk County; Pelham; Port Colborne; Six Nations (Part) 40; Six Nations (Part) 40; St. Catharines; Thorold; Wainfleet; Welland; West Lincoln,aaaaf770-4163-422c-a927-237904afacd5,ae00b97b-3e30-4980-a142-ba43981f49ae
Kitchener--Waterloo--Barrie,1,7,6.964219,f,0,807663,807663,0.723490,1,t,Cambridge; Erin; Guelph; Guelph/Eramosa; Kitchener; North Dumfries; Puslinch; Waterloo; Wellesley; Wilmot; Woolwich,c7dfd7bd-2a90-4b64-a87f-18aa5128aaf1,cecc228c-6f56-4644-8853-b5295840f879
Kitchener--Waterloo--Barrie,2,6,6.035781,f,0,699989,699989,0.632831,6,t,Adjala-Tosorontio; Amaranth; Barrie; Bradford West Gwillimbury; Centre Wellington; Christian Island 30; Christian Island 30A; Clearview; Collingwood; East Garafraxa; Essa; Grand Valley; Innisfil; Mapleton; Melancthon; Midland; Minto; Mnjikaning First Nation 32; Mono; Mulmur; New Tecumseth; Orangeville; Orillia; Oro-Medonte; Penetanguishene; Ramara; Severn; Shelburne; Springwater; Tay; Tiny; Wasaga Beach; Wellington North,a87aad03-8f47-41a1-8a17-551e3417a38d,cecc228c-6f56-4644-8853-b5295840f879
Lower Mainland--Southwest / L*,1,9,9.043197,f,0,1039957,1039957,0.698124,1,t,Delta; Musqueam 2; Musqueam 4; Richmond; Tsawwassen; Vancouver,024f3579-bcbc-4b65-8244-ec534f3d1ca1,f90fc967-e20c-44a8-b9ca-a000ef9a427f
Lower Mainland--Southwest / L*,2,7,6.974332,f,0,802040,802040,0.736381,1,t,Coquitlam 1; Coquitlam 2; Langley; New Westminster; Port Coquitlam; Semiahmoo; Surrey; White Rock,6b2d08d0-452a-483f-83b2-84dfb00a0e05,f90fc967-e20c-44a8-b9ca-a000ef9a427f
Lower Mainland--Southwest / L*,3,6,6.151602,f,0,707427,707427,0.759443,5,t,Anmore; Barnston Island 3; Belcarra; Burnaby; Burrard Inlet 3; Capilano 5; Coquitlam; Greater Vancouver A; Katzie 1; Lions Bay; Mission 1; North Vancouver; North Vancouver; Pitt Meadows; Port Moody; Seymour Creek 2; West Vancouver,8440cac8-ed8a-434f-ab85-cdf32d9f0c9f,f90fc967-e20c-44a8-b9ca-a000ef9a427f
