scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Afghanistan,1,5,5.078964,f,0,20928541,20928541,0.868432,1,t,Badghis; Balkh; Bamyan; Daykundi; Farah; Faryab; Ghanzi; Ghor; Helmand; Herat; Jowzjan; Kandahar; Nimruz; Paktika; Samangan; Sar-e Pol; Uruzgan; Wardak; Zabul,959b0163-98c9-458e-baa3-910eec58721e,8a4860cf-4340-4464-8570-2130fde10320
Afghanistan,2,5,4.921036,f,0,20277778,20277778,0.637691,1,t,Badakhshan; Baghlan; Kabul; Kapisa; Khost; Kunar; Kunduz; Laghman; Logar; Nangarhar; Nuristan; Paktia; Panjshir; Parwan; Takhar,e8a36c7b-d3a4-4c0b-bc6c-4c6abbac1b91,8a4860cf-4340-4464-8570-2130fde10320
Algeria,1,6,5.896389,f,0,24567551,24567551,0.825415,1,t,Adrar; Annaba; Batna; Bejaia; Biskra; Bordj Bou Arreridj‎; Bouira; Constantine; Djelfa; El Oued; El Tarf; Ghardaia; Guelma; Illizi; Jijel; Khenchela; Laghouat; M'Sila; Mila; Ouargla; Oum El Bouaghi; Skikda; Souk Ahras; Sétif; Tamanrasset; Tizi Ouzou; Tébessa,bee58488-490b-4ffc-91d5-840aaf8a6fce,b62fde8a-57bb-46f1-9908-38c673073243
Algeria,2,5,5.103611,f,0,21264409,21264409,0.711396,1,t,Algiers; Aïn Defla; Aïn Témouchent; Blida; Boumerdès; Béchar; Chlef; El Bayadh; Mascara; Mostaganem; Médéa; Naâma; Oran; Relizane; Saïda; Sidi Bel Abbès; Tiaret; Tindouf; Tipaza; Tissemsilt; Tlemcen,07b6cf49-308c-48a6-ba13-b625db012841,b62fde8a-57bb-46f1-9908-38c673073243
Andhra Pradesh,1,7,7.108709,f,0,28091745,28091745,0.747849,1,t,Anantapur; Chittoor; Guntur; Kadapa(YSR); Kurnool; Prakasam; Sri Potti Sriramulu Nellore,6a78a16e-974d-4f15-af07-21e88d7c9eb0,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,2,6,5.891291,f,0,23280831,23280831,0.669686,2,t,East Godavari; Krishna; Srikakulam; Visakhapatnam; Vizianagaram; West Godavari; Yanam,9af74a84-100f-4a48-bbb2-6a04c852695f,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Anhui Province,1,8,7.851123,f,0,31600273,31600273,0.773674,1,t,Anqingshi; Chaohushi; Chaohushi; Chuzhoushi; Dangtuxian; Dongzhixian; Fanchangxian; Feidongxian; Feixixian; Gaochunxian; Guangdexian; Guichishi; Hanshanxian; Hefeishi; Hexian; Huainingxian; Huangshanshi; Huangshanshi; Huoshanxian; Jiangpuxian; Jingdexian; Jingxian; Jinzaixian; Jixixian; Laianxian; Langxixian; Liuanshi; Lujiangxian; Maanshanshi; Nanlingxian; Ningguoshi; Qianshanxian; Qimenxian; Qingyangxian; Quanjiaoxian; Shexian; Shitaixian; Shuchengxian; Susongxian; Taihuxian; Tianchangshi; Tongchengxian; Tonglingshi; Tonglingxian; Wangjiangxian; Wuhushi; Wuhuxian; Wuweixian; Xiuningxian; Xuanzhoushi; Yixian; Yuexixian; Zongyangxian,7c10eb63-1394-41e2-88c0-1e576d32c023,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Anhui Province,2,7,7.148877,f,0,28773781,28773781,0.816737,1,t,Bangbushi; Bozhoushi; Changfengxian; Dafengshi; Dingyuanxian; Fengtaixian; Fengyangxian; Funanxian; Fuyangshi; Fuyangshi; Guzhenxian; Huaibeishi; Huainanshi; Huaiyuanxian; Huoqiuxian; Jiashanxian; Jieshoushi; Lingbixian; Lixingxian; Mengchengxian; Shouxian; Shuzhoushi; Suixixian; Suzhoushi; Taihexian; Woyangxian; Wuhexian; Xiaoxian; Yingshangxian,8659df09-3570-4273-a9b5-8858e46a5f08,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Argentina,1,5,5.078434,f,0,21209758,21209758,0.529142,3,t,Buenos Aires; Chubut; Ciudad Autónoma de Buenos Aires; La Pampa; Neuquén; Río Negro; Santa Cruz; Tierra del Fuego,fa7a729d-4f26-4401-9997-c4dd459eb0e5,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Argentina,2,5,4.921566,f,0,20554610,20554610,0.819063,1,t,Catamarca; Chaco; Corrientes; Córdoba; Formosa; Jujuy; La Roja; Mendoza; Misiones; Salta; San Juan; San Luis; Santa Fe; Santiago del Estero; Tucumán,2ace52fe-9697-4813-aaeb-66c90d3d3097,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
