scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Al Sharqia Governorate,1,9,8.569214,f,0,2150571,2150571,0.751015,1,t,Al-Qanayat; El-Ibrahimiya; Hihya; Zaqaziq; Zaqaziq 1; Zaqaziq 2,a3b27791-6f03-4de1-b658-a5ce3c14f692,b26fb4de-a385-45fd-bb89-1d85d26ba82e
Al Sharqia Governorate,2,8,8.482361,f,0,2128774,2128774,0.745761,1,t,Bilbis; Mashtul Al-Suq; Minya al-Qamh,b2f1934b-1c01-495f-9e2a-8e139549b1a9,b26fb4de-a385-45fd-bb89-1d85d26ba82e
Al Sharqia Governorate,3,9,8.857195,f,0,2222844,2222844,0.514210,1,t,10 Ramadan 2; Abu Hammad; Abu Kabir; Dyarb Nigm; Kafr Saqr; Zemam Out,5f3b8297-85e1-41b9-bd66-8e2bd3a91510,b26fb4de-a385-45fd-bb89-1d85d26ba82e
Al Sharqia Governorate,4,8,8.091231,f,0,2030614,2030614,0.861826,1,t,Al-Husayniya; Al-Salhiyya; Awlad Saqr; Faqus; Faqus; Qurin,0afb3a70-8cd1-4e44-93f2-8aeaef213d73,b26fb4de-a385-45fd-bb89-1d85d26ba82e
Alexandria Governorate,1,9,8.918721,f,0,2017684,2017684,0.756850,1,t,Al Raml; Bab Sharqi; Karmuz; Kesm than Al Raml; Muharam Bik; Sidi Gabir,de5c3db6-bee5-4fdd-9b0e-8f63604e677c,311e3570-1272-4124-b45b-38aec7552353
Alexandria Governorate,2,9,8.888853,f,0,2010927,2010927,0.649093,1,t,A L Labban; Al Amreia; Al Attarin; Al Dikhila; Al Gumruk; Al Manshiyya; Burg Al-Arab City; Mina Al-Basal; Port Alexandria Police Department; Zemam Out,7e9ecc45-e7b4-4ae9-bf6e-af6381255210,311e3570-1272-4124-b45b-38aec7552353
Alexandria Governorate,3,8,8.192426,f,0,1853374,1853374,0.834749,1,t,Muntazah,daf76255-5e2f-4530-8ce6-ff2d9cb6dd1d,311e3570-1272-4124-b45b-38aec7552353
Asyut Governorate,1,7,7.014598,f,0,1824930,1824930,0.694154,4,t,Al-Qusia; Dayrut; Manfalut,6b67547a-eec2-43a3-b958-1c23689aa8e9,78a2335c-3d6a-4bcc-a38d-5f10ac5b99ac
Asyut Governorate,2,7,6.825657,f,0,1775775,1775775,0.627444,1,t,Abu Tig; Assuit; Kesm Awal Assuit; Kesm Than Assuit; Sidfa,4491cce1-9e3e-4357-89f4-daf745da1e3e,78a2335c-3d6a-4bcc-a38d-5f10ac5b99ac
Asyut Governorate,3,6,6.159745,f,0,1602530,1602530,0.845526,2,t,Abnub; Al- Badari; Alfath; Assuit City; Sahil Silim; Zemam Out,673438d4-a770-4d27-8928-fe7d48813f54,78a2335c-3d6a-4bcc-a38d-5f10ac5b99ac
Beheira Governorate,1,8,8.313481,f,0,2006727,2006727,0.855543,1,t,Abu-l-Matamir; Al-Dilingat; Badr; Hush Isa; Nubariyya West; Wadi Al-NatrUn; Zemam Out,74d037e7-6d34-423a-a1be-cefdcebfb5f1,224bc5a2-a8af-4b98-9abf-0ba21aa59a0d
Beheira Governorate,2,7,7.064739,f,0,1705303,1705303,0.665390,1,t,Al-Rahmaniyya; Itay Al-Barud; Kum Hamada; Shubra Khît,9a99f4bc-8334-4505-8ca0-fae9279ac4bf,224bc5a2-a8af-4b98-9abf-0ba21aa59a0d
Beheira Governorate,3,8,8.021947,f,0,1936356,1936356,0.793288,1,t,Abu Hummus; Al-Mahmudiyya; Damanhur; Damanhur,0896bda0-1d8a-4a53-84ff-de48fbfc0ee6,224bc5a2-a8af-4b98-9abf-0ba21aa59a0d
Beheira Governorate,4,8,7.599833,f,0,1834465,1834465,0.538921,1,t,Idku; Kafr Al-Dawwar; Kafr Al-Dawwar; Rashid,95702786-e627-4658-ab78-ab66303974c6,224bc5a2-a8af-4b98-9abf-0ba21aa59a0d
Beni Suef Governorate,1,9,8.859167,f,0,2005609,2005609,0.590291,4,t,Ahnasya; Al Fashn; Bani Swayf City; Biba; Sumusta; Zemam Out,8a32f3a6-c049-4e5c-b87b-b0b81c61e22c,1a192dc1-ae28-4ed2-94fd-a16f753b722e
Beni Suef Governorate,2,8,8.140833,f,0,1842987,1842987,0.762338,2,t,Al Wasta; Bani Swayf; Bani Swayf; Nasir,2863d688-3941-4578-9ddc-8030f1f502ad,1a192dc1-ae28-4ed2-94fd-a16f753b722e
Cairo Governorate,1,8,7.965036,f,0,1839104,1839104,0.689860,1,t,Al Matariyya; Al Wayli; Al Zaytun; Hadaiq Al-Qubba; Madinat Nasr-2; Minshat Nasir,07c7e92a-74cb-405f-ac86-0b5d639039a3,1f6817f1-3e56-46b3-a260-9553c5fd2355
Cairo Governorate,2,8,8.040268,f,0,1856475,1856475,0.841382,1,t,Ain Shams; Misr al-Gadida; Nasr City; Nuzha,13c7bf80-0912-4662-9e0f-1cd474611ad9,1f6817f1-3e56-46b3-a260-9553c5fd2355
Cairo Governorate,3,8,7.944113,f,0,1834273,1834273,0.844577,1,t,Abdin; Al Azbakiyya; Al Darb al-Ahmar; Al Sahil; Al Sharabiyya; Al Zahir; Bab Al-Shariyya; Bulaq; Gamaliyya; Muski; Qasr Al-Nile; Rud Al-Farag; Sayyida Zainab; Shubra; Zawiyya Al-Hamra,93b0c07f-1abe-4cfa-a938-45e8dad793a5,1f6817f1-3e56-46b3-a260-9553c5fd2355
Cairo Governorate,4,8,8.125479,f,0,1876150,1876150,0.822057,5,t,Al Khalifa; Basatin; Misr Al-Qadima,4a1e5516-7d3c-482b-9d71-6f1b6d2d5671,1f6817f1-3e56-46b3-a260-9553c5fd2355
Cairo Governorate,5,9,8.925104,f,0,2060781,2060781,0.856607,3,t,10 Ramadan 1; 15 Mayu; Al Tibbin; Badr; Hilwan; Maadi; New Cairo-1; New Cairo-2; New Cairo-3; Shroq; Tura; Zemam Out,3c1a2178-204a-4373-9537-f7cb549120aa,1f6817f1-3e56-46b3-a260-9553c5fd2355
Dakahlia Governorate,1,9,9.172066,f,0,1903693,1903693,0.319360,7,t,Al-Manasra; Dikirnis; E Mansora 2; El Mansora; El Mansora 1; Mahalet Demna,6caf7e6c-581d-4d0c-b806-20ddf4571243,af7f4ef1-103b-41fa-b8ab-1b55c834f529
Dakahlia Governorate,2,8,7.668988,f,0,1591724,1591724,0.777976,1,t,Aga; Mit Ghamr; Mit Ghamr,35a8d54c-a5c5-4962-bb40-2d1b6d829cbc,af7f4ef1-103b-41fa-b8ab-1b55c834f529
Dakahlia Governorate,3,9,8.842594,f,0,1835310,1835310,0.494243,2,f,Bany Abeed; Gamaliyya; Manzala; Matariyya; Sinbillawin; Tamy Al-Amdid,8cde4e7d-2200-471b-9758-ab932c78ae03,af7f4ef1-103b-41fa-b8ab-1b55c834f529
Dakahlia Governorate,4,9,9.316352,f,0,1933640,1933640,0.759822,2,t,Bilqas; Gamsa; Nebro; Shirbin; Talkha,5652085c-e64e-43c6-87ea-18189bea5d1f,af7f4ef1-103b-41fa-b8ab-1b55c834f529
Egypt,1,8,8.114547,f,0,1932310,1932310,0.869381,1,t,Damietta Governorate,ee84e1ab-596a-4741-83aa-ad8d745a6190,ea4a3117-f793-40ac-90f1-a46e44228583
