scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
BANDAR KUALA LUMPUR,1,5,5.001341,f,0,208907,208907,0.825761,1,t,sub:BANDAR KUALA LUMPUR — drawn district 1 (pop 208907),c79def3b-be1b-438a-b643-2e23efab9527,970b24b7-f0bc-4e7c-b18c-faa27fe6dc66
BANDAR KUALA LUMPUR,2,5,4.998659,f,0,208795,208795,0.773694,1,t,sub:BANDAR KUALA LUMPUR — drawn district 2 (pop 208795),0de4a0bc-aab7-4cf5-adf7-8f91b1517bfd,970b24b7-f0bc-4e7c-b18c-faa27fe6dc66
Johor,1,8,7.888654,f,0,829624,829624,0.426441,11,t,Kota Tinggi; Kulaijaya; Mersing; Pontian,a1ceedb5-5493-43b3-9ee7-d846146163e5,b47ffda0-c03c-4df4-ae1c-67bed3fbd254
Johor,2,7,6.858680,f,0,721305,721305,0.636558,1,t,Kluang; Ledang; Segamat,8c6593f7-075f-4592-b1c3-dea9050f4a67,b47ffda0-c03c-4df4-ae1c-67bed3fbd254
Johor,3,8,8.252666,f,0,867906,867906,0.825467,1,t,Batu Pahat; Muar,15a8332f-1d27-4e0b-b1e4-1606ebcb9801,b47ffda0-c03c-4df4-ae1c-67bed3fbd254
Johor Bahru,1,8,7.946207,f,0,623774,623774,0.840597,1,t,MUKIM PLENTONG; MUKIM SUNGAI TIRAM,49480d15-9ace-417b-a1da-853817c3009a,6b789aec-59b4-4fd3-8365-0e5af2a888a8
Johor Bahru,2,9,9.053793,f,0,710719,710719,0.507397,2,t,BANDAR JOHOR BAHRU; MUKIM TANJUNG KUPANG; MUKIM TEBRAU,733c1222-f275-47f2-b3a1-99395ca127ff,6b789aec-59b4-4fd3-8365-0e5af2a888a8
Kedah,1,7,6.957894,f,0,757498,757498,0.707293,1,t,Baling; Bandar Baharu; Kulim; Padang Terap; Pokok Sena; Sik,4b70252c-9e56-495c-b4d3-b9edfce41205,a13deeb6-ce38-4979-8d5e-e4a327134244
Kedah,2,7,6.997180,f,0,761775,761775,0.385962,5,t,Kota Setar; Kubang Pasu; Langkawi,12e25194-ea2e-421b-aa17-4a29439a2909,a13deeb6-ce38-4979-8d5e-e4a327134244
Kedah,3,7,7.044926,f,0,766973,766973,0.783770,4,t,Kuala Muda; Pendang; Yan,e7a8016f-4aa3-4207-85bb-00e3c63e54bb,a13deeb6-ce38-4979-8d5e-e4a327134244
