scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
ARMM,1,9,8.758916,f,0,2311511,2311511,0.643678,2,t,Maguindanao,1bbedd15-4bb5-46dc-b28a-beff07ba69f1,9570c85b-5e76-4e71-a071-28f2d0996331
ARMM,2,5,4.744710,f,0,1252147,1252147,0.706669,1,t,Lanao del Sur,94a68203-e290-4224-be35-8a6d4eb4913d,9570c85b-5e76-4e71-a071-28f2d0996331
ARMM,3,5,5.496374,f,0,1450514,1450514,0.039099,395,t,Sulu; Tawi-Tawi,211e82fb-5502-4339-ad41-5e56d25fa7cd,9570c85b-5e76-4e71-a071-28f2d0996331
Batangas,1,7,6.999959,f,0,1641276,1641276,0.662032,7,t,Alitagtag; Batangas City; Bauan; Cuenca; Ibaan; Lipa City; Lobo; Mabini; Padre Garcia; Rosario; San Jose; San Juan; San Luis; San Pascual; Taysan; Tingloy,fe6f62e9-7549-494f-abd3-0e59fdba33a7,593beeec-86b2-479c-a109-f51548246653
Batangas,2,6,6.000041,f,0,1406826,1406826,0.491518,21,t,Agoncillo; Balayan; Balete; Calaca; Calatagan; City of Tanauan; Laurel; Lemery; Lian; Malvar; Mataasnakahoy; Nasugbu; San Nicolas; Santa Teresita; Santo Tomas; Taal; Talisay; Tuy,0cea9fe1-6284-4828-a86c-210edb204c49,593beeec-86b2-479c-a109-f51548246653
Bicol Region,1,9,9.199648,f,0,2163622,2163622,0.581591,72,t,Camarines Sur,42959b92-8304-4a4b-87ac-a6f5c8f651d0,dcc1e3a2-d5ab-4a0b-88c3-a2f73700d15b
Bicol Region,2,9,8.915221,f,0,2096729,2096729,0.274460,41,f,Albay; Camarines Norte,d46de29c-1d09-4abf-afef-25e7437342a2,dcc1e3a2-d5ab-4a0b-88c3-a2f73700d15b
Bicol Region,3,9,8.885130,f,0,2089652,2089652,0.229964,78,f,Catanduanes; Masbate; Sorsogon,a1fc7447-6e0f-4b62-bfe3-1610cbee2bf2,dcc1e3a2-d5ab-4a0b-88c3-a2f73700d15b
Bulacan,1,8,8.183033,f,0,1988586,1988586,0.826118,1,t,Balagtas; Baliuag; Bocaue; Bulacan; Bustos; Calumpit; City of Malolos; Guiguinto; Hagonoy; Pandi; Paombong; Plaridel; Pulilan; Santa Maria,16e32140-f0b4-4630-a3a2-68a1fb679c33,394af1ef-c477-47ea-ae6d-a47bdb2aabfd
Bulacan,2,8,7.816967,f,0,1899627,1899627,0.798562,2,t,Angat; City of Meycauayan; City of San Jose del Monte; Doña Remedios Trinidad; Marilao; Norzagaray; Obando; San Ildefonso; San Miguel; San Rafael,1d71650f-8f1f-41b2-85ba-3fb5baf6f89a,394af1ef-c477-47ea-ae6d-a47bdb2aabfd
CAR,1,5,5.060692,f,0,867835,867835,0.910398,1,t,Benguet,7885fa7e-4cc4-4572-aa33-920debcc6e9f,1f1636e6-d842-423f-bd36-ebdd223a2164
CAR,2,6,5.939308,f,0,1018505,1018505,0.821957,1,t,Abra; Apayao; Ifugao; Kalinga; Mountain Province,69cb7f82-9438-4d7c-ac33-3ee15c404511,1f1636e6-d842-423f-bd36-ebdd223a2164
Cagayan Valley,1,8,7.747151,f,0,1872360,1872360,0.236317,33,f,Batanes; Cagayan; Nueva Vizcaya,49492c40-8070-4312-bc8c-55ea2bc7ad27,cc14a87e-910a-4386-b99a-2fd801867a4e
Cagayan Valley,2,8,8.252849,f,0,1994579,1994579,0.845497,9,t,Isabela; Quirino,9e1efecd-cd20-4708-b462-fc123b39e5d6,cc14a87e-910a-4386-b99a-2fd801867a4e
Caraga,1,6,6.088406,f,0,1484499,1484499,0.388350,110,t,Agusan del Norte; Dinagat Islands; Surigao del Norte,c7fc50a3-cb2f-4738-8dc2-fa7651065718,04939616-b180-43e4-bdcc-c5cf0094c78e
Caraga,2,6,5.911594,f,0,1441388,1441388,0.758171,11,t,Agusan del Sur; Surigao del Sur,3256d196-84b6-494b-8450-9654321a2e59,04939616-b180-43e4-bdcc-c5cf0094c78e
Cavite,1,7,7.061303,f,0,1689468,1689468,0.800496,4,t,Alfonso; Amadeo; City of General Trias; General Emilio Aguinaldo; Indang; Magallanes; Maragondon; Mendez; Naic; Noveleta; Rosario; Tanza; Ternate; Trece Martires City,e8c8573c-3304-4403-adf4-f552796d7966,32b47742-10bc-4059-968b-1b849950d616
Cavite,2,6,5.963209,f,0,1426741,1426741,0.265760,4,t,Bacoor City; Cavite City; Imus City; Kawit,485caf19-799e-44cf-ad15-c7c17d7eff23,32b47742-10bc-4059-968b-1b849950d616
Cavite,3,6,5.975488,f,0,1429679,1429679,0.695475,1,t,Carmona; City of Dasmariñas; Gen. Mariano Alvarez; Silang; Tagaytay City,ffd64c23-e41b-4ae2-b1e9-19cdbdd2de8d,32b47742-10bc-4059-968b-1b849950d616
Cebu,1,9,9.196283,f,0,2154955,2154955,0.775557,10,t,Asturias; Carmen; Catmon; Cebu City; Compostela; Consolacion; Danao City; Liloan; Mandaue City; Tuburan,ffaf38a5-7edc-4f60-922f-ef6de99df312,54238ac7-4af7-4a13-b0f5-0f1b324b57da
Cebu,2,8,8.029564,f,0,1881559,1881559,0.698718,12,t,Alcantara; Alcoy; Alegria; Aloguinsan; Argao; Badian; Balamban; Barili; Boljoon; City of Carcar; City of Naga; City of Talisay; Dalaguete; Dumanjug; Ginatilan; Malabuyoc; Minglanilla; Moalboal; Oslob; Pinamungahan; Ronda; Samboan; San Fernando; Santander; Sibonga; Toledo City,749c459c-94a0-4958-8e7b-ffcea92fc690,54238ac7-4af7-4a13-b0f5-0f1b324b57da
Cebu,3,6,5.774153,f,0,1353051,1353051,0.126399,70,f,Bantayan; Borbon; City of Bogo; Cordova; Daanbantayan; Lapu-Lapu City; Madridejos; Medellin; Pilar; Poro; San Francisco; San Remigio; Santa Fe; Sogod; Tabogon; Tabuelan; Tudela,9a2ada35-e01e-49c7-a429-a4f42142eddb,54238ac7-4af7-4a13-b0f5-0f1b324b57da
Central Luzon,1,8,7.952998,f,0,1824722,1824722,0.314481,5,t,Aurora; Tarlac,a55c3be8-6c77-48f6-a90c-b1626d986a57,941664a8-4af7-4000-940e-8e21cd3b07b4
Central Luzon,2,8,8.047002,f,0,1846290,1846290,0.708545,10,t,Bataan; Zambales,0d53ceed-0f62-4b97-9ae3-a1081bbf9cbe,941664a8-4af7-4000-940e-8e21cd3b07b4
Central Visayas,1,7,6.818553,f,0,1608095,1608095,0.479383,6,t,Negros Oriental; Siquijor,91f51cd5-d96e-4744-a9a2-7fb5c9d2dee2,f5aa0afb-9877-41a1-be15-e846c7b14715
Central Visayas,2,6,6.181447,f,0,1457839,1457839,0.639882,78,t,Bohol,ac7c8860-365e-4504-b585-27d8d5c3a1fe,f5aa0afb-9877-41a1-be15-e846c7b14715
Davao Region,1,7,7.145315,f,0,1736258,1736258,0.446383,13,t,Compostela Valley; Davao Occidental; Davao Oriental,74dcc5fa-da4e-412b-8c45-20fd532cbf81,b9b9a46a-d20f-4990-ac99-e30b856348bf
Davao Region,2,5,4.854685,f,0,1179652,1179652,0.583958,5,t,Davao del Norte,0a9b90b7-ccb4-4205-94ef-a9f3d63b5bcc,b9b9a46a-d20f-4990-ac99-e30b856348bf
Davao del Sur,1,8,7.954822,f,0,1861549,1861549,0.828973,2,t,Davao City,86376c80-4b72-426e-98fa-2bc5500057bc,56bdf26c-cf7c-4b08-a1ff-1c16840c1df0
Davao del Sur,2,3,3.045178,t,0,712618,712618,0.781511,1,t,Bansalan; City of Digos; Hagonoy; Kiblawan; Magsaysay; Malalag; Matanao; Padada; Santa Cruz; Sulop,69f55980-8076-4d9f-b9dd-1d29bb3679e1,56bdf26c-cf7c-4b08-a1ff-1c16840c1df0
Eastern Visayas,1,9,8.952765,f,0,2121932,2121932,0.572855,21,t,Leyte,97384b2d-0456-4b0c-85ef-3b55aa403c8b,2a9c4342-c7a2-46a9-ac2c-1757a4023e97
Eastern Visayas,2,5,4.907281,f,0,1163095,1163095,0.348805,91,t,Eastern Samar; Northern Samar,8d77bb75-24d5-47e8-899e-4a8dc80024e7,2a9c4342-c7a2-46a9-ac2c-1757a4023e97
Eastern Visayas,3,6,6.139954,f,0,1455256,1455256,0.316727,78,f,Biliran; Samar; Southern Leyte,32556155-6155-45f7-a4f0-639336f13472,2a9c4342-c7a2-46a9-ac2c-1757a4023e97
Ilocos Region,1,6,6.153766,f,0,1379345,1379345,0.577837,3,t,Ilocos Norte; Ilocos Sur,f4d9d277-bb7c-40c5-8e78-c666d3c55f48,68ffa7ba-1514-49cb-b87f-d04fff0a8667
Ilocos Region,2,4,3.846234,t,0,862120,862120,0.769819,2,t,La Union,2eada37b-1dee-4ed1-9ee8-be018839e3c3,68ffa7ba-1514-49cb-b87f-d04fff0a8667
Iloilo,1,6,5.929695,f,0,1415911,1415911,0.719346,1,t,Alimodian; Cabatuan; Dumangas; Guimbal; Igbaras; Iloilo City; Leganes; Leon; Maasin; Miagao; New Lucena; Oton; Pavia; San Joaquin; San Miguel; Santa Barbara; Tigbauan; Tubungan; Zarraga,0be86b29-e1b3-46a4-8c71-61f1f41404a3,6f6a314b-05d6-4bc0-9205-86a60f4da51c
Iloilo,2,5,5.070305,f,0,1210703,1210703,0.495574,54,t,Ajuy; Anilao; Badiangan; Balasan; Banate; Barotac Nuevo; Barotac Viejo; Batad; Bingawan; Calinog; Carles; City of Passi; Concepcion; Dingle; Dueñas; Estancia; Janiuay; Lambunao; Lemery; Mina; Pototan; San Dionisio; San Enrique; San Rafael; Sara,18d87abe-d8ab-4a92-997f-860d8c24a3df,6f6a314b-05d6-4bc0-9205-86a60f4da51c
Laguna,1,5,5.088472,f,0,1203906,1203906,0.733339,1,t,City of Biñan; City of San Pedro; City of Santa Rosa,ccc18c80-cc12-4044-89ae-97ce3ff57117,6bb01433-3375-4ef5-b127-ffd43ab4ab8b
Laguna,2,5,5.012071,f,0,1185830,1185830,0.553736,2,t,Alaminos; Bay; Cabuyao City; City of Calamba; Los Baños,063711bf-3fbc-4e94-8a91-19f19fed9dcd,6bb01433-3375-4ef5-b127-ffd43ab4ab8b
Laguna,3,5,4.899457,f,0,1159186,1159186,0.724528,7,t,Calauan; Cavinti; Famy; Kalayaan; Liliw; Luisiana; Lumban; Mabitac; Magdalena; Majayjay; Nagcarlan; Paete; Pagsanjan; Pakil; Pangil; Pila; Rizal; San Pablo City; Santa Cruz; Santa Maria; Siniloan; Victoria,99a63432-f122-4bb1-bae9-521080a46984,6bb01433-3375-4ef5-b127-ffd43ab4ab8b
Mimaropa,1,5,5.386895,f,0,1296302,1296302,0.131897,66,t,Palawan,6b99742c-636a-46fb-9043-21f36fb8d0d4,3f4e74e5-a7a5-48f5-9e95-b902573d3ed0
Mimaropa,2,9,8.613105,f,0,2072657,2072657,0.346870,54,t,Marinduque; Occidental Mindoro; Oriental Mindoro; Romblon,a6c00ece-ee02-43a7-9073-cb2cc7f5cbed,3f4e74e5-a7a5-48f5-9e95-b902573d3ed0
