scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Alabama,1,5,4.998766,f,0,2374557,2374557,0.825039,4,t,Autauga; Baldwin; Barbour; Bibb; Bullock; Butler; Chambers; Chilton; Choctaw; Clarke; Coffee; Conecuh; Coosa; Covington; Crenshaw; Dale; Dallas; Elmore; Escambia; Geneva; Greene; Hale; Henry; Houston; Lee; Lowndes; Macon; Marengo; Mobile; Monroe; Montgomery; Perry; Pike; Russell; Shelby; Sumter; Tallapoosa; Tuscaloosa; Washington; Wilcox,4630352b-0eb0-4b28-b464-55b4629ee556,407ef8b2-ad56-46a1-bdaa-e5ce80b3740e
Alabama,2,5,5.001234,f,0,2375729,2375729,0.863614,1,t,Blount; Calhoun; Cherokee; Clay; Cleburne; Colbert; Cullman; DeKalb; Etowah; Fayette; Franklin; Jackson; Jefferson; Lamar; Lauderdale; Lawrence; Limestone; Madison; Marion; Marshall; Morgan; Pickens; Randolph; St. Clair; Talladega; Walker; Winston,82a00b00-47f9-4ae5-9b3c-1cd7fd0ce164,407ef8b2-ad56-46a1-bdaa-e5ce80b3740e
Arizona,1,7,7.000000,f,0,3370933,3370933,0.885440,1,t,Apache; Cochise; Coconino; Gila; Graham; Greenlee; La Paz; Mohave; Navajo; Pima; Pinal; Santa Cruz; Yavapai; Yuma,a5fb1536-6abb-48a1-a886-884ae79fcc43,cc9f21e4-618a-448e-8c85-1fc00cf5aa4a
California,1,7,7.013055,f,0,3448456,3448456,0.677719,1,t,Alpine; Amador; Calaveras; Contra Costa; El Dorado; Mariposa; Mono; Sacramento; Tuolumne,5bf9a0d9-ca8a-43d4-8974-f251f0bd07ca,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,2,7,7.058535,f,0,3470819,3470819,0.922732,2,t,Butte; Colusa; Del Norte; Glenn; Humboldt; Lake; Lassen; Marin; Mendocino; Modoc; Napa; Nevada; Placer; Plumas; Shasta; Sierra; Siskiyou; Solano; Sonoma; Sutter; Tehama; Trinity; Yolo; Yuba,9dff8078-6ae2-4a0c-bbc2-f246481fdc84,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,3,6,5.827377,f,0,2865435,2865435,0.791613,1,t,Imperial; Riverside,3d1757cf-66a6-4ccf-b11e-f83ce9f8b4ee,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,4,7,7.353274,f,0,3615748,3615748,0.898222,1,t,San Diego,5bdce761-5fc8-4f09-8da6-ed35973cd1da,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,5,7,7.105065,f,0,3493699,3493699,0.916053,1,t,Orange,7c724606-4a8a-49ee-a12b-f593df2473e2,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,6,6,5.990912,f,0,2945848,2945848,0.779388,1,t,Inyo; San Bernardino; Tulare,bdbe6a1a-a10f-40e7-8bb7-0f52c5209c11,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,7,7,6.812785,f,0,3349979,3349979,0.573168,7,t,Kern; Kings; Monterey; San Luis Obispo; Santa Barbara; Ventura,113370ae-5c6e-45ca-9aed-30fb01278298,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,8,7,7.003930,f,0,3443969,3443969,0.674459,1,t,Fresno; Madera; Merced; San Benito; San Joaquin; Santa Cruz; Stanislaus,4ac4e1ca-b47f-4728-8e8f-27b620c82082,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,9,6,6.064777,f,0,2982169,2982169,0.675500,1,t,San Mateo; Santa Clara,3497de03-9869-48b0-a7c8-c74ddb52f8f6,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,10,6,5.770290,f,0,2837364,2837364,0.629657,3,t,Alameda; San Francisco,12400275-d3e5-4a10-904f-32ef42eaa996,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
Colorado,1,6,6.050069,f,0,2970640,2970640,0.702769,2,t,Adams; Arapahoe; Boulder; Denver; Douglas; Jefferson,7e36dbbf-3cfb-4c17-b579-4400dd470624,5804c271-502a-4fe9-8d98-20588076ba96
