scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Alabama,1,5,4.998766,t,2374557,2374557,0.825039,4,t,Autauga; Baldwin; Barbour; Bibb; Bullock; Butler; Chambers; Chilton; Choctaw; Clarke; Coffee; Conecuh; Coosa; Covington; Crenshaw; Dale; Dallas; Elmore; Escambia; Geneva; Greene; Hale; Henry; Houston; Lee; Lowndes; Macon; Marengo; Mobile; Monroe; Montgomery; Perry; Pike; Russell; Shelby; Sumter; Tallapoosa; Tuscaloosa; Washington; Wilcox,05c51488-e470-429d-bd55-7855618b4d1e,407ef8b2-ad56-46a1-bdaa-e5ce80b3740e
Alabama,2,5,5.001234,f,2375729,2375729,0.863614,1,t,Blount; Calhoun; Cherokee; Clay; Cleburne; Colbert; Cullman; DeKalb; Etowah; Fayette; Franklin; Jackson; Jefferson; Lamar; Lauderdale; Lawrence; Limestone; Madison; Marion; Marshall; Morgan; Pickens; Randolph; St. Clair; Talladega; Walker; Winston,05538fa3-f5b1-4519-8256-d0ade1857c8e,407ef8b2-ad56-46a1-bdaa-e5ce80b3740e
Arizona,1,7,7.000000,f,3370933,3370933,0.885440,1,t,Apache; Cochise; Coconino; Gila; Graham; Greenlee; La Paz; Mohave; Navajo; Pima; Pinal; Santa Cruz; Yavapai; Yuma,a5dc28a6-083e-4a33-a84c-fc6396009bfe,cc9f21e4-618a-448e-8c85-1fc00cf5aa4a
California,1,6,5.700468,f,2803031,2803031,0.455236,1,t,Amador; Sacramento; San Joaquin; Sutter,d1df341c-1de0-40c6-b6b6-46c49bced5f1,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,2,7,7.353274,f,3615748,3615748,0.898222,1,t,San Diego,9f4ae3ac-5f5a-416e-bf89-38f80e71e012,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,3,7,6.959368,f,3422057,3422057,0.601822,7,t,Kern; Kings; Monterey; San Benito; San Luis Obispo; Santa Barbara; Ventura,d5888d9d-bf03-47e0-b635-8ce0eaf10efb,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,4,6,6.031608,f,2965859,2965859,0.812395,2,t,Contra Costa; Marin; Napa; Solano; Sonoma; Yolo,faacb520-ad9a-4658-982f-48a899266f59,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,5,6,6.018877,f,2959599,2959599,0.749481,1,t,Inyo; Mono; San Bernardino; Tulare,975dd466-12c9-4044-8b04-08de50717d2b,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,6,7,7.292066,f,3585651,3585651,0.626618,1,t,Merced; San Mateo; Santa Clara; Santa Cruz,c0e613e1-be44-4c49-b4c9-34a6796d9882,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,7,7,7.105065,f,3493699,3493699,0.916053,1,t,Orange,d4d2ef16-b48f-47e4-88cc-118bad61f6cc,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
