id,legislature_id,jurisdiction_id,district_number,seats,target_population,actual_population,created_at,updated_at,deleted_at,status,fractional_seats,floor_override,map_id,num_geom_parts,is_contiguous,convex_hull_ratio
02efe86c-22e0-4d3d-ab27-add12bd55912,a658b153-eaeb-473b-b105-fedf4abae431,c5c5061d-a654-4e0c-aed6-10fd0a35dad5,1,7,9459877,9459877,2026-08-27 19:10:22,2026-08-27 19:10:22,,active,7.365702,f,03680363-c29e-49eb-b0d9-82b2ac52bcf6,1,t,0.811933
0a5510b1-9c28-48b8-a453-1b5ef9ec6d57,a658b153-eaeb-473b-b105-fedf4abae431,ffd9aa34-6a7b-4148-a350-46c35650706a,1,9,11088528,11088528,2026-08-27 19:10:42,2026-08-27 19:10:43,,active,8.713236,f,03680363-c29e-49eb-b0d9-82b2ac52bcf6,1,t,0.734134
29a537a2-fb08-48d1-9214-481ff3e43469,a658b153-eaeb-473b-b105-fedf4abae431,7efe61eb-3e40-481c-86bb-a404ca4ce670,1,5,5922170,5922170,2026-08-27 19:08:41,2026-08-27 19:08:42,,active,5.015568,f,03680363-c29e-49eb-b0d9-82b2ac52bcf6,1,t,0.803295
376906bc-28a6-43f0-ae15-0ae8c5b65a5b,a658b153-eaeb-473b-b105-fedf4abae431,91b678c8-8dd1-427a-93d7-b0301ac77e5f,1,9,11815010,11815010,2026-08-27 19:08:44,2026-08-27 19:08:44,,active,9.190500,f,03680363-c29e-49eb-b0d9-82b2ac52bcf6,1,t,0.791496
3ac8ba8b-215b-4103-887d-c1727df80752,a658b153-eaeb-473b-b105-fedf4abae431,969cad98-c4e1-4119-bdcc-75f7825f9f09,1,6,7224286,7224286,2026-08-27 19:08:45,2026-08-27 19:08:45,,active,5.667229,f,03680363-c29e-49eb-b0d9-82b2ac52bcf6,1,t,0.746588
49daa0b6-69e1-47b9-a691-51b0bf2b81cf,a658b153-eaeb-473b-b105-fedf4abae431,ba5acc44-e185-43e0-a5b1-857777c9d194,1,9,11335526,11335526,2026-08-27 19:09:36,2026-08-27 19:09:36,,active,8.918430,f,03680363-c29e-49eb-b0d9-82b2ac52bcf6,1,t,0.824919
4b641e77-1df5-45ea-aebc-405eb0acc049,a658b153-eaeb-473b-b105-fedf4abae431,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2,1,8,10265688,10265688,2026-08-27 19:08:27,2026-08-27 19:08:28,,active,8.048173,f,03680363-c29e-49eb-b0d9-82b2ac52bcf6,1,t,0.656101
6d1218bb-07ff-4f33-9b0a-888bb130e965,a658b153-eaeb-473b-b105-fedf4abae431,24576efc-f6c8-4304-891b-4c19eac6695e,1,9,10509648,10509648,2026-08-27 19:07:31,2026-08-27 19:07:35,,active,8.784454,f,03680363-c29e-49eb-b0d9-82b2ac52bcf6,37,t,0.170567
7fcdc6e3-cc56-4bb8-a30d-3633fa85c3c5,a658b153-eaeb-473b-b105-fedf4abae431,2f55d66a-a4cf-42f9-ab86-68b88d8d2dae,1,8,10106493,10106493,2026-08-27 19:08:15,2026-08-28 00:40:50,,active,7.803565,f,03680363-c29e-49eb-b0d9-82b2ac52bcf6,1,t,0.642370
9527efb1-60ca-46f8-acc9-7c6056663aa2,a658b153-eaeb-473b-b105-fedf4abae431,688e4841-8254-4d76-9b20-72550aad9208,1,8,10538890,10538890,2026-08-27 19:08:35,2026-08-27 19:08:36,,active,8.285967,f,03680363-c29e-49eb-b0d9-82b2ac52bcf6,1,t,0.738851
