id,legislature_id,jurisdiction_id,district_number,seats,target_population,actual_population,created_at,updated_at,deleted_at,status,fractional_seats,floor_override,map_id,num_geom_parts,is_contiguous,convex_hull_ratio
03e0e42e-628c-4381-b37d-2c3f265c52c3,319c1990-6128-4bd8-a797-bb5de6b79ad3,394af1ef-c477-47ea-ae6d-a47bdb2aabfd,1,8,1988586,1988586,2026-08-27 19:09:44,2026-08-27 19:09:44,,active,8.183033,f,2663e10e-56c4-47e2-a5f5-24c35fdecb0e,1,t,0.826118
0caa8fbc-9130-4215-818e-ee47f3af0091,319c1990-6128-4bd8-a797-bb5de6b79ad3,56bdf26c-cf7c-4b08-a1ff-1c16840c1df0,1,8,1861549,1861549,2026-08-27 19:10:52,2026-08-27 19:10:52,,active,7.954822,f,2663e10e-56c4-47e2-a5f5-24c35fdecb0e,2,t,0.828973
13d294d9-f4a2-488b-b1d9-87e5a317a6e6,319c1990-6128-4bd8-a797-bb5de6b79ad3,941664a8-4af7-4000-940e-8e21cd3b07b4,1,8,1824722,1824722,2026-08-27 19:08:25,2026-08-27 19:08:25,,active,7.952998,f,2663e10e-56c4-47e2-a5f5-24c35fdecb0e,5,t,0.314481
162a8e5f-d69d-4de2-a0f4-2ec0f00dde52,319c1990-6128-4bd8-a797-bb5de6b79ad3,9d16da04-80aa-4499-92cd-0733d8cbcdd1,1,7,1782119,1782119,2026-08-27 19:09:16,2026-08-27 19:09:17,,active,7.453887,f,2663e10e-56c4-47e2-a5f5-24c35fdecb0e,4,t,0.595168
1ae02d2f-a247-4351-890c-f591c3f1967d,319c1990-6128-4bd8-a797-bb5de6b79ad3,c4cfbd6b-b06e-4d39-af16-e0f731c78a4f,1,6,1426704,1426704,2026-08-27 19:09:49,2026-08-27 19:09:50,,active,6.096388,f,2663e10e-56c4-47e2-a5f5-24c35fdecb0e,1,t,0.765428
1f709bea-54d6-4c86-bfdb-6a28e2f4b26e,319c1990-6128-4bd8-a797-bb5de6b79ad3,b9b9a46a-d20f-4990-ac99-e30b856348bf,1,7,1736258,1736258,2026-08-27 19:09:18,2026-08-27 19:09:19,,active,7.145315,f,2663e10e-56c4-47e2-a5f5-24c35fdecb0e,13,t,0.446383
245853e1-0096-4fb9-8228-dcd515db10b6,319c1990-6128-4bd8-a797-bb5de6b79ad3,1f1636e6-d842-423f-bd36-ebdd223a2164,1,5,867835,867835,2026-08-27 19:08:20,2026-08-27 19:08:20,,active,5.060692,f,2663e10e-56c4-47e2-a5f5-24c35fdecb0e,1,t,0.910398
2f174696-29d2-400e-bfd1-98901bbdf3b5,319c1990-6128-4bd8-a797-bb5de6b79ad3,1f479a6d-3c4c-4551-ad51-1c3d56bd7d67,1,7,1619242,1619242,2026-08-27 19:09:38,2026-08-27 19:09:41,,active,6.834105,f,2663e10e-56c4-47e2-a5f5-24c35fdecb0e,125,t,0.664826
2f758ad3-a3b7-4495-8232-2cca90a14df4,319c1990-6128-4bd8-a797-bb5de6b79ad3,f5aa0afb-9877-41a1-be15-e846c7b14715,1,7,1608095,1608095,2026-08-27 19:09:05,2026-08-27 19:09:06,,active,6.818553,f,2663e10e-56c4-47e2-a5f5-24c35fdecb0e,6,t,0.479383
3379416c-7175-4e66-b8ef-e1ce30cc51dd,319c1990-6128-4bd8-a797-bb5de6b79ad3,5a07be3d-64ba-4272-af2c-9cd289593301,1,7,1628344,1628344,2026-08-27 19:10:04,2026-08-27 19:10:04,,active,6.982549,f,2663e10e-56c4-47e2-a5f5-24c35fdecb0e,13,t,0.534719
