id,legislature_id,jurisdiction_id,district_number,seats,target_population,actual_population,created_at,updated_at,deleted_at,status,fractional_seats,floor_override,map_id,num_geom_parts,is_contiguous,convex_hull_ratio
0b76c973-e2f1-45fe-957d-9f2c22b20145,a658b153-eaeb-473b-b105-fedf4abae431,d9d25ed5-9f43-43cc-b034-73945fd31051,1,9,11490214,11490214,2026-08-28 00:33:30,2026-08-28 00:33:30,,active,8.942018,f,2ae715b9-4d1e-48aa-b865-025b110e4f0f,3,t,0.864307
0b861463-c781-4329-9253-2db8e264bb51,a658b153-eaeb-473b-b105-fedf4abae431,2f55d66a-a4cf-42f9-ab86-68b88d8d2dae,1,8,10106493,10106493,2026-08-28 00:33:30,2026-08-28 00:42:17,,active,7.803565,f,2ae715b9-4d1e-48aa-b865-025b110e4f0f,1,t,0.642370
1576b33a-4727-44e4-a8c0-6141ce502cf5,a658b153-eaeb-473b-b105-fedf4abae431,a590ccbb-79cc-42ea-87cd-84428d95f854,1,8,10259547,10259547,2026-08-28 00:33:30,2026-08-28 00:33:30,,active,8.063284,f,2ae715b9-4d1e-48aa-b865-025b110e4f0f,1,t,0.571410
1ad346c6-769e-4b5d-8c13-a5559663bee6,a658b153-eaeb-473b-b105-fedf4abae431,7efe61eb-3e40-481c-86bb-a404ca4ce670,1,5,5922170,5922170,2026-08-28 00:33:30,2026-08-28 00:33:30,,active,5.015568,f,2ae715b9-4d1e-48aa-b865-025b110e4f0f,1,t,0.803295
202581ee-d3c1-4003-842c-43f696acb0e4,a658b153-eaeb-473b-b105-fedf4abae431,a267d3e8-3d19-461c-ab45-204a28a37b49,1,7,8494264,8494264,2026-08-28 00:33:30,2026-08-28 00:33:30,,active,6.979899,f,2ae715b9-4d1e-48aa-b865-025b110e4f0f,9,t,0.669889
26731237-b35e-4bd2-aac4-fbf7647fca6b,a658b153-eaeb-473b-b105-fedf4abae431,a0614e7a-dc45-41d3-b9f3-59b746890a9a,1,7,9522961,9522961,2026-08-28 00:33:30,2026-08-28 00:33:30,,active,7.409576,f,2ae715b9-4d1e-48aa-b865-025b110e4f0f,1,t,0.712144
2f45e3ca-3c35-442b-9501-025ccb6a1323,a658b153-eaeb-473b-b105-fedf4abae431,0ade322e-d4f6-4d5e-8062-e7d8af3b5804,1,6,7328729,7328729,2026-08-28 00:33:30,2026-08-28 00:33:30,,active,5.944247,f,2ae715b9-4d1e-48aa-b865-025b110e4f0f,2,t,0.675214
4432695d-e051-4117-b44b-e68f50a3d5ce,a658b153-eaeb-473b-b105-fedf4abae431,c5c5061d-a654-4e0c-aed6-10fd0a35dad5,1,7,9459877,9459877,2026-08-28 00:33:30,2026-08-28 00:33:30,,active,7.365702,f,2ae715b9-4d1e-48aa-b865-025b110e4f0f,1,t,0.811933
5534d14e-8b21-424c-ac62-18a5282b2fab,a658b153-eaeb-473b-b105-fedf4abae431,24576efc-f6c8-4304-891b-4c19eac6695e,1,9,10509648,10509648,2026-08-28 00:33:30,2026-08-28 00:33:30,,active,8.784454,f,2ae715b9-4d1e-48aa-b865-025b110e4f0f,37,t,0.170567
56e6f75c-60f9-4013-91b1-09d4d88db29c,a658b153-eaeb-473b-b105-fedf4abae431,1bf3192e-e316-493b-ab1b-f3dc6e9250aa,1,8,9719221,9719221,2026-08-28 00:33:30,2026-08-28 00:33:30,,active,7.655469,f,2ae715b9-4d1e-48aa-b865-025b110e4f0f,1,t,0.659386
