id,legislature_id,jurisdiction_id,district_number,seats,target_population,actual_population,created_at,updated_at,deleted_at,status,fractional_seats,floor_override,map_id,num_geom_parts,is_contiguous,convex_hull_ratio
01293145-83a3-4296-a5bf-49719afea8ef,60bf845b-b770-48b3-8689-4af40bc810a8,d2945cab-dda8-435f-97f0-9db50bb8fa7e,1,8,31785577,31785577,2026-08-10 01:13:12,2026-08-10 01:13:13,,active,8.100022,f,79782bdd-0832-4acc-ad50-3d8cd93af842,12,t,0.742231
02464dcc-1f2d-4cef-a001-1ff62dced4f2,60bf845b-b770-48b3-8689-4af40bc810a8,6d7c6070-cde3-4839-9091-89a876e4c4d2,1,5,19542877,19542877,2026-08-10 00:31:13,2026-08-10 00:31:13,,active,5.004694,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.760883
07e5df49-e93c-4177-a0b3-1b7f0e542897,60bf845b-b770-48b3-8689-4af40bc810a8,b62fde8a-57bb-46f1-9908-38c673073243,1,6,24890165,24890165,2026-08-10 01:20:28,2026-08-10 01:20:30,,active,5.973819,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.863680
0a92fad5-31c2-4d1c-968b-5d4c8ca8c05f,60bf845b-b770-48b3-8689-4af40bc810a8,e08a8b55-6467-4ec9-ba6d-0f9d1c19cd63,1,7,28847311,28847311,2026-08-10 00:26:46,2026-08-10 00:26:47,,active,6.992618,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.750071
0acb3ec4-a0e1-4031-866d-ac37e556d7ea,60bf845b-b770-48b3-8689-4af40bc810a8,e76a7a93-be46-47a2-a46b-ae29bf1d4c8f,1,5,20324326,20324326,2026-08-10 00:35:37,2026-08-10 00:35:37,,active,4.977494,t,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.710715
0f057229-4175-4988-897d-4075a002f7f7,60bf845b-b770-48b3-8689-4af40bc810a8,bc2eaef9-36f0-4b80-aed2-621166f11900,1,8,32106783,32106783,2026-08-10 00:19:45,2026-08-10 00:19:45,,active,8.035117,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.600726
1245ec3c-4973-42bb-a68a-5a2993317b5e,60bf845b-b770-48b3-8689-4af40bc810a8,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2,1,8,32077143,32077143,2026-08-10 00:19:35,2026-08-10 00:19:35,,active,7.889595,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.706050
1ba4d3cd-71e8-41a9-8cd6-5191471f511a,60bf845b-b770-48b3-8689-4af40bc810a8,3813611f-ad9a-4f64-bf4c-bd9c4af14072,1,7,27478372,27478372,2026-08-10 01:14:58,2026-08-10 01:14:58,,active,7.024149,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.801255
1c71367b-ff35-4f24-a6fe-55ee2d7e0bc5,60bf845b-b770-48b3-8689-4af40bc810a8,ba5acc44-e185-43e0-a5b1-857777c9d194,1,5,19698402,19698402,2026-08-10 00:24:07,2026-08-10 00:24:07,,active,5.014083,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.793555
245f4922-0cfb-490a-a751-b564e7b746ee,60bf845b-b770-48b3-8689-4af40bc810a8,8514c67a-183b-4999-b259-6ee8ad168642,1,9,36032366,36032366,2026-08-10 01:04:29,2026-08-10 01:04:29,,active,8.983281,f,79782bdd-0832-4acc-ad50-3d8cd93af842,17,t,0.419607
251bf993-2573-4ced-86aa-fdb0d0762b43,60bf845b-b770-48b3-8689-4af40bc810a8,0e8f11f5-458e-4c2a-9c9c-d2151ebfaa32,1,8,31847846,31847846,2026-08-10 00:58:08,2026-08-10 00:58:10,,active,7.889790,f,79782bdd-0832-4acc-ad50-3d8cd93af842,66,t,0.410578
296eb258-b6bf-43bd-acaf-c73b5c364a89,60bf845b-b770-48b3-8689-4af40bc810a8,a590ccbb-79cc-42ea-87cd-84428d95f854,1,8,32632409,32632409,2026-08-10 00:22:23,2026-08-10 00:22:24,,active,8.060418,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.724870
2c90a5ee-4130-43ba-b8e3-d88ffe76b361,60bf845b-b770-48b3-8689-4af40bc810a8,e67a781f-74a2-4d35-8403-40b545bce681,1,7,28322756,28322756,2026-08-10 00:27:05,2026-08-10 00:27:06,,active,7.021242,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.731627
2f835927-255d-46e2-bf4b-79e3d1e81ea7,60bf845b-b770-48b3-8689-4af40bc810a8,4918dd02-9039-4006-8c46-e44b717168db,1,6,23422369,23422369,2026-08-10 01:17:30,2026-08-10 01:17:30,,active,5.862753,f,79782bdd-0832-4acc-ad50-3d8cd93af842,41,t,0.635135
3140a956-991a-48b2-b24e-65cff1029e0f,60bf845b-b770-48b3-8689-4af40bc810a8,70f5b9f3-48b5-4be7-8045-f62fb883343b,1,5,19521079,19521079,2026-08-10 01:23:50,2026-08-10 01:24:10,,active,4.997822,t,79782bdd-0832-4acc-ad50-3d8cd93af842,292,f,0.424417
315e6f09-e8d4-4ac4-9cc5-184f374a403d,60bf845b-b770-48b3-8689-4af40bc810a8,c94aeb5a-6ef5-4698-abcd-c267b1e47792,1,9,36423181,36423181,2026-08-10 00:26:11,2026-08-10 00:26:11,,active,9.036847,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.887903
34124269-83c9-42d9-8b09-5a20c886a3a2,60bf845b-b770-48b3-8689-4af40bc810a8,8b8c83a3-b11b-40fa-86db-580b0cade7ec,1,9,37437128,37437128,2026-08-10 00:34:19,2026-08-10 00:34:19,,active,9.203727,f,79782bdd-0832-4acc-ad50-3d8cd93af842,6,t,0.557920
34484d67-6702-45a0-9c28-790089d2f1dc,60bf845b-b770-48b3-8689-4af40bc810a8,7c6ecbb4-f0bb-4784-bc35-9149b177e854,1,6,22763854,22763854,2026-08-10 00:56:41,2026-08-10 00:56:41,,active,5.760620,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.738561
3609d6d7-e205-4c3e-97f9-df5321017f2a,60bf845b-b770-48b3-8689-4af40bc810a8,068c5d9a-673c-411f-b771-5e10af257eff,1,6,24660809,24660809,2026-08-10 01:15:38,2026-08-10 01:15:39,,active,5.953098,f,79782bdd-0832-4acc-ad50-3d8cd93af842,298,t,0.361373
3bcd3110-8dc1-41a5-b591-fa21ae602a86,60bf845b-b770-48b3-8689-4af40bc810a8,cd7f7810-915a-4d9e-a424-b8645c25ec42,1,9,34869268,34869268,2026-08-10 00:32:52,2026-08-10 00:32:53,,active,8.637037,f,79782bdd-0832-4acc-ad50-3d8cd93af842,279,t,0.657668
3fa53ef4-f2c0-4121-857e-c93d12fff8e3,60bf845b-b770-48b3-8689-4af40bc810a8,58fb1da5-8e0d-448f-abe5-f6983d7aa3c8,1,6,23114778,23114778,2026-08-10 00:33:46,2026-08-10 00:33:47,,active,6.027373,f,79782bdd-0832-4acc-ad50-3d8cd93af842,140,f,0.202123
3fb13e78-0251-4f35-9a1f-ad3e00fc5518,60bf845b-b770-48b3-8689-4af40bc810a8,ff58aed2-d170-4b9d-89a3-641947355403,1,7,27311410,27311410,2026-08-10 00:35:14,2026-08-10 00:35:14,,active,6.998594,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.822149
489bbf67-da0f-4f87-94ab-c345b46eb104,60bf845b-b770-48b3-8689-4af40bc810a8,923fa440-8770-4eca-ac15-4575512e9125,1,5,18981358,18981358,2026-08-10 04:09:35,2026-08-10 11:18:26,,active,4.992287,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.700572
4a9beecc-dbe2-434c-a2b1-f701bfa79e8b,60bf845b-b770-48b3-8689-4af40bc810a8,9f1fe628-cae6-4bdd-aec0-e138a7c71b39,1,5,20067303,20067303,2026-08-10 00:28:18,2026-08-10 00:28:18,,active,4.985743,t,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.827859
4b714dbf-2759-4492-a675-eba700870830,60bf845b-b770-48b3-8689-4af40bc810a8,d9d25ed5-9f43-43cc-b034-73945fd31051,1,8,32519533,32519533,2026-08-10 00:20:05,2026-08-10 00:20:06,,active,7.977424,f,79782bdd-0832-4acc-ad50-3d8cd93af842,15,t,0.647724
4ecaeafe-85ee-4eb7-8be7-ff39c7e8a6b0,60bf845b-b770-48b3-8689-4af40bc810a8,4062a27c-dde1-4cc0-af39-863b75dc8480,1,7,27960988,27960988,2026-08-10 01:00:19,2026-08-10 01:00:22,,active,6.860861,f,79782bdd-0832-4acc-ad50-3d8cd93af842,74,f,0.254219
5575453c-3b5c-4f21-b3a3-c2389aabb890,60bf845b-b770-48b3-8689-4af40bc810a8,03968822-fd4f-4225-92d7-df71ff511775,1,6,25132609,25132609,2026-08-10 00:30:04,2026-08-10 00:30:04,,active,5.994775,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.762241
5a198413-878c-41d8-ae1e-0987032d61bd,60bf845b-b770-48b3-8689-4af40bc810a8,d71cf8f0-4722-487b-84aa-64b0fdd71ac4,1,5,19478740,19478740,2026-08-10 01:21:51,2026-08-10 01:21:52,,active,5.010786,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.688580
5a738c73-65af-4faf-a538-c6330db674db,60bf845b-b770-48b3-8689-4af40bc810a8,4dc3821a-f4c4-484c-90f9-64970c6818b0,1,9,36239727,36239727,2026-08-10 01:28:08,2026-08-10 01:28:11,,active,9.065833,f,79782bdd-0832-4acc-ad50-3d8cd93af842,226,t,0.493997
5c4eb146-c369-4345-ad35-93c9fafbeda4,60bf845b-b770-48b3-8689-4af40bc810a8,9b746c04-73dc-458a-b05a-42fbf10f4dc0,1,8,33180758,33180758,2026-08-10 00:26:28,2026-08-10 00:26:28,,active,8.004722,f,79782bdd-0832-4acc-ad50-3d8cd93af842,1,t,0.706589
5c4fd393-6da6-43ce-be24-b7d1e3ce56a6,60bf845b-b770-48b3-8689-4af40bc810a8,d95315a9-cded-45d5-b328-12ba8f29b7a6,1,8,31913996,31913996,2026-08-10 01:09:48,2026-08-10 01:09:50,,active,8.056870,f,79782bdd-0832-4acc-ad50-3d8cd93af842,379,t,0.582344
600a9319-0e78-4738-9893-ace9fc5f3af7,60bf845b-b770-48b3-8689-4af40bc810a8,d990fc35-cfcb-4f66-b556-031538196f6c,1,9,36244087,36244087,2026-08-10 00:55:15,2026-08-10 00:55:17,,active,8.953343,f,79782bdd-0832-4acc-ad50-3d8cd93af842,5,t,0.774999
