id,legislature_id,jurisdiction_id,district_number,seats,target_population,actual_population,created_at,updated_at,deleted_at,status,fractional_seats,floor_override,map_id,num_geom_parts,is_contiguous,convex_hull_ratio
0041ff23-28b9-49f0-95c3-5f91a46a9857,ccdef50b-a409-4243-b089-b65f0a36777d,e291639e-ef3f-48a2-af2c-2384cd4aa184,1,9,4421286,4421286,2026-08-23 20:42:30,2026-08-23 20:42:31,,active,8.926154,f,3cdf1d8b-bdcf-4047-8670-b5adae480e46,2,t,0.669892
00bd9c80-1c1b-4050-9776-242b607dc1c8,ccdef50b-a409-4243-b089-b65f0a36777d,25e4ca32-695b-42ba-abfb-bc8e8ef76343,1,5,2454549,2481160,2026-08-23 20:11:06,2026-08-23 21:14:23,,active,5.054080,f,3cdf1d8b-bdcf-4047-8670-b5adae480e46,1,t,0.834799
08ea6491-7bc9-47f9-a727-9b165fc950eb,ccdef50b-a409-4243-b089-b65f0a36777d,1a671cf3-91b0-4ec0-b93b-f6aaf8979e59,1,8,3892985,3892985,2026-08-23 21:11:21,2026-08-23 21:11:21,,active,8.053180,f,3cdf1d8b-bdcf-4047-8670-b5adae480e46,4,t,0.805443
091b594e-b42f-4563-bfba-edb3eff03247,ccdef50b-a409-4243-b089-b65f0a36777d,6fcdeab8-2d64-4709-ba75-c67f20a90622,1,5,2369539,2369539,2026-08-23 20:11:26,2026-08-23 20:11:26,,active,5.016169,f,3cdf1d8b-bdcf-4047-8670-b5adae480e46,7,t,0.646999
0e0dec6b-1db5-4779-9cc0-ba07e39001a3,ccdef50b-a409-4243-b089-b65f0a36777d,49d7c831-31e6-472d-9d0a-5036e8756445,1,8,3831513,3831513,2026-08-23 20:07:59,2026-08-23 20:07:59,,active,7.934081,f,3cdf1d8b-bdcf-4047-8670-b5adae480e46,1,t,0.857989
14b6beb0-d56f-4393-89fe-ecd7da2193bf,ccdef50b-a409-4243-b089-b65f0a36777d,ac01fe33-1bd5-4a5c-895a-849a1ccfcdd4,1,7,3179631,3179631,2026-08-23 20:49:03,2026-08-23 20:49:03,,active,6.527604,f,3cdf1d8b-bdcf-4047-8670-b5adae480e46,2,f,0.682004
18f74eee-5283-4633-a1fa-bdfcfcb2accd,ccdef50b-a409-4243-b089-b65f0a36777d,407ef8b2-ad56-46a1-bdaa-e5ce80b3740e,1,5,2374557,2374557,2026-08-23 20:11:17,2026-08-23 20:11:17,,active,4.998766,t,3cdf1d8b-bdcf-4047-8670-b5adae480e46,4,t,0.825039
1d045e0f-cd8c-407c-a92f-029968d3d3ee,ccdef50b-a409-4243-b089-b65f0a36777d,378bdbbc-588a-4f6c-b2aa-2f6bbfe80665,1,7,3421525,3421525,2026-08-23 21:02:09,2026-08-23 21:02:10,,active,7.048445,f,3cdf1d8b-bdcf-4047-8670-b5adae480e46,1,t,0.776194
3165ddae-06aa-4716-a6e8-57e6adb28ba6,ccdef50b-a409-4243-b089-b65f0a36777d,22ae29df-2daf-4a19-a548-f5dfc04e7775,1,6,3087890,3087890,2026-08-23 20:09:22,2026-08-23 20:09:22,,active,6.000265,f,3cdf1d8b-bdcf-4047-8670-b5adae480e46,1,t,0.833795
33bf5b5b-a618-4a97-b0d9-4149c5416bac,ccdef50b-a409-4243-b089-b65f0a36777d,efe4b6d1-e1ec-4f58-8e2e-802bf44fff9b,1,7,3349194,3349194,2026-08-23 20:10:28,2026-08-23 20:10:28,,active,6.999664,f,3cdf1d8b-bdcf-4047-8670-b5adae480e46,1,t,0.810651
