scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
ARMM,1,9,8.758916,f,2311511,2311511,0.643678,2,t,Maguindanao,ef99141a-e022-4ffd-aeb1-4a9255cf603f,9570c85b-5e76-4e71-a071-28f2d0996331
ARMM,2,5,4.744710,f,1252147,1252147,0.706669,1,t,Lanao del Sur,7e1b4865-4338-45ef-8abc-dc92e77e65d3,9570c85b-5e76-4e71-a071-28f2d0996331
ARMM,3,5,5.496374,f,1450514,1450514,0.039099,395,t,Sulu; Tawi-Tawi,b7898d3f-26ba-4921-8a08-4143c832ffa3,9570c85b-5e76-4e71-a071-28f2d0996331
Batangas,1,7,6.999959,f,1641276,1641276,0.662032,7,t,Alitagtag; Batangas City; Bauan; Cuenca; Ibaan; Lipa City; Lobo; Mabini; Padre Garcia; Rosario; San Jose; San Juan; San Luis; San Pascual; Taysan; Tingloy,455fe554-82ed-4804-a7b3-e1ccf968cd41,593beeec-86b2-479c-a109-f51548246653
Batangas,2,6,6.000041,f,1406826,1406826,0.491518,21,t,Agoncillo; Balayan; Balete; Calaca; Calatagan; City of Tanauan; Laurel; Lemery; Lian; Malvar; Mataasnakahoy; Nasugbu; San Nicolas; Santa Teresita; Santo Tomas; Taal; Talisay; Tuy,02ba48e7-cc38-4a47-a2b2-fb1f667204b7,593beeec-86b2-479c-a109-f51548246653
Bicol Region,1,9,9.199648,f,2163622,2163622,0.581591,72,t,Camarines Sur,ebe36fe6-85c2-438c-85fa-46de6ec4b264,dcc1e3a2-d5ab-4a0b-88c3-a2f73700d15b
Bicol Region,2,9,8.915221,f,2096729,2096729,0.274460,41,f,Albay; Camarines Norte,9734095e-943b-46b7-be1c-d9454e53da9e,dcc1e3a2-d5ab-4a0b-88c3-a2f73700d15b
Bicol Region,3,9,8.885130,f,2089652,2089652,0.229964,78,f,Catanduanes; Masbate; Sorsogon,c5516258-ece3-4d38-95f4-5ee41d491675,dcc1e3a2-d5ab-4a0b-88c3-a2f73700d15b
Bulacan,1,8,8.183033,f,1988586,1988586,0.826118,1,t,Balagtas; Baliuag; Bocaue; Bulacan; Bustos; Calumpit; City of Malolos; Guiguinto; Hagonoy; Pandi; Paombong; Plaridel; Pulilan; Santa Maria,03e0e42e-628c-4381-b37d-2c3f265c52c3,394af1ef-c477-47ea-ae6d-a47bdb2aabfd
Bulacan,2,8,7.816967,f,1899627,1899627,0.798562,2,t,Angat; City of Meycauayan; City of San Jose del Monte; Doña Remedios Trinidad; Marilao; Norzagaray; Obando; San Ildefonso; San Miguel; San Rafael,1e3cba8e-f270-4fac-b5fd-efad37a4c6d9,394af1ef-c477-47ea-ae6d-a47bdb2aabfd
CAR,1,5,5.060692,f,867835,867835,0.910398,1,t,Benguet,245853e1-0096-4fb9-8228-dcd515db10b6,1f1636e6-d842-423f-bd36-ebdd223a2164
CAR,2,6,5.939308,f,1018505,1018505,0.821957,1,t,Abra; Apayao; Ifugao; Kalinga; Mountain Province,6c14cb8d-a631-4965-9c99-3e62521b064f,1f1636e6-d842-423f-bd36-ebdd223a2164
Cagayan Valley,1,8,7.747151,f,1872360,1872360,0.236317,33,f,Batanes; Cagayan; Nueva Vizcaya,5c8419f7-4378-41dd-b0fb-917c760ba59b,cc14a87e-910a-4386-b99a-2fd801867a4e
Cagayan Valley,2,8,8.252849,f,1994579,1994579,0.845497,9,t,Isabela; Quirino,2e39e0f4-4fdc-4198-bff9-832dce48e9a1,cc14a87e-910a-4386-b99a-2fd801867a4e
Caraga,1,6,6.088406,f,1484499,1484499,0.388350,110,t,Agusan del Norte; Dinagat Islands; Surigao del Norte,87c858a3-436b-4dca-a2ce-1c7c04b65eaa,04939616-b180-43e4-bdcc-c5cf0094c78e
Caraga,2,6,5.911594,f,1441388,1441388,0.758171,11,t,Agusan del Sur; Surigao del Sur,f350f0e6-8d0c-46b6-a8bf-5602e9eee1f0,04939616-b180-43e4-bdcc-c5cf0094c78e
Cavite,1,7,7.061303,f,1689468,1689468,0.800496,4,t,Alfonso; Amadeo; City of General Trias; General Emilio Aguinaldo; Indang; Magallanes; Maragondon; Mendez; Naic; Noveleta; Rosario; Tanza; Ternate; Trece Martires City,da287c40-8fa5-442d-8e9f-57f0241feef6,32b47742-10bc-4059-968b-1b849950d616
Cavite,2,6,5.963209,f,1426741,1426741,0.265760,4,t,Bacoor City; Cavite City; Imus City; Kawit,82029da2-d45a-4e0a-bc9a-19e883390124,32b47742-10bc-4059-968b-1b849950d616
Cavite,3,6,5.975488,f,1429679,1429679,0.695475,1,t,Carmona; City of Dasmariñas; Gen. Mariano Alvarez; Silang; Tagaytay City,fdb58e76-92a8-4388-be95-26012dd5f8ba,32b47742-10bc-4059-968b-1b849950d616
Cebu,1,9,9.196283,f,2154955,2154955,0.775557,10,t,Asturias; Carmen; Catmon; Cebu City; Compostela; Consolacion; Danao City; Liloan; Mandaue City; Tuburan,b708fdd4-4034-469b-a651-c5c818b314ee,54238ac7-4af7-4a13-b0f5-0f1b324b57da
Cebu,2,8,8.029564,f,1881559,1881559,0.698718,12,t,Alcantara; Alcoy; Alegria; Aloguinsan; Argao; Badian; Balamban; Barili; Boljoon; City of Carcar; City of Naga; City of Talisay; Dalaguete; Dumanjug; Ginatilan; Malabuyoc; Minglanilla; Moalboal; Oslob; Pinamungahan; Ronda; Samboan; San Fernando; Santander; Sibonga; Toledo City,3108e9a6-be60-497e-9307-b4aa8356ae72,54238ac7-4af7-4a13-b0f5-0f1b324b57da
