scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Alberta,1,5,5.136060,f,596629,596629,0.842188,1,t,Athabasca--Grande Prairie--Pe*; Banff--Jasper--Rocky Mountain*; Red Deer,dd79e1a0-117b-4d67-a9b1-63b39506d18e,16819779-8de0-4ac5-97bd-358097805af0
Alberta,2,6,5.863940,f,681183,681183,0.677111,1,t,Camrose--Drumheller; Lethbridge--Medicine Hat; Wood Buffalo--Cold Lake,65055685-5499-4691-b3a8-7c8d9617c59a,16819779-8de0-4ac5-97bd-358097805af0
British Columbia,1,9,9.157052,f,1047056,1047056,0.675584,1,t,Cariboo; Kootenay; Northeast / Nord-est; Thompson--Okanagan,096722ae-586e-458e-a91b-a4bc12cd0bc6,fa2e8e4a-5275-405a-bb49-c9c56ac95da4
British Columbia,2,9,8.842948,f,1011140,1011140,0.558557,1064,t,Nechako; North Coast / Côte-nord; Vancouver Island and Coast / *,6f552d70-133d-42a7-9799-5f474c0476be,fa2e8e4a-5275-405a-bb49-c9c56ac95da4
Calgary,1,6,6.000878,f,690166,690166,0.850824,1,t,sub:Calgary — drawn district 1 (pop 690166),cb6bec1c-8d3a-43df-8ebd-9d22f05b9d94,4bc55318-20d8-4d66-8919-aba97a1cb953
Calgary,1,3,3.000000,t,299752,299752,0.766328,1,t,Airdrie; Beiseker; Black Diamond; Carstairs; Chestermere; Cochrane; Cremona; Crossfield; Didsbury; Eden Valley 216; Foothills No. 31; High River; Irricana; Longview; Mountain View County; Okotoks; Olds; Rocky View County; Sundre; Tsuu T'ina Nation 145 (Sarcee*; Turner Valley,f3c4ce5e-48b3-485d-a675-7bdc9b218ca8,84ed8916-c546-44b7-9390-4e3420b50c5c
Calgary,2,6,5.999122,f,689964,689964,0.884439,1,t,sub:Calgary — drawn district 2 (pop 689964),cc003100-b5d1-4b46-8787-faeaceb08064,4bc55318-20d8-4d66-8919-aba97a1cb953
Canada,1,9,9.199533,f,1023297,1023297,0.383459,901,t,Nova Scotia,2d359419-e996-44d2-a9ec-e7de676d9efc,70f5b9f3-48b5-4be7-8045-f62fb883343b
Canada,2,9,8.838985,f,983192,983192,0.593998,331,t,New Brunswick; Prince Edward Island,cbcfae69-7fe6-4104-b3f0-6aa52e4d05eb,70f5b9f3-48b5-4be7-8045-f62fb883343b
Canada,3,6,5.961482,f,663117,663117,0.430004,4481,t,Newfoundland and Labrador; Northwest Territories; Nunavut; Yukon,fcbe0b70-ab87-474d-b654-e927e55d8979,70f5b9f3-48b5-4be7-8045-f62fb883343b
Edmonton,1,4,4.013951,t,476694,476694,0.761585,1,t,Alexander 134; Argentia Beach; Beaumont; Betula Beach; Bon Accord; Brazeau County; Breton; Calmar; Crystal Springs; Devon; Drayton Valley; Ermineskin 138; Fort Saskatchewan; Gibbons; Golden Days; Grandview; Itaska Beach; Kapasiwin; Lakeview; Leduc; Leduc County; Legal; Louis Bull 138B; Ma-Me-O Beach; Millet; Morinville; Norris Beach; Parkland County; Pigeon Lake 138A; Point Alison; Poplar Bay; Redwater; Seba Beach; Silver Beach; Spring Lake; Spruce Grove; St. Albert; Stony Plain; Stony Plain 135; Strathcona County; Sturgeon County; Sundance Beach; Thorsby; Wabamun; Wabamun 133A; Wabamun 133B; Warburg; Wetaskiwin; Wetaskiwin County No. 10,09fc4a42-83d8-48bb-9609-2ff54c1067a0,d8b09a65-7665-4eaa-ad32-2c5787a3b4f1
Edmonton,2,9,8.986049,f,1067177,1067177,0.845660,1,t,Edmonton,07a8ec3a-c3c8-4bf4-ab0a-9367655b50f9,d8b09a65-7665-4eaa-ad32-2c5787a3b4f1
Hamilton--Niagara Peninsula,1,7,7.078261,f,798573,798573,0.856901,1,t,Burlington; Hamilton,a60e0e45-2178-46b2-9b1f-f57a68684ead,ae00b97b-3e30-4980-a142-ba43981f49ae
Hamilton--Niagara Peninsula,2,7,6.921739,f,780914,780914,0.613343,16,t,Brant; Brantford; Fort Erie; Grimsby; Haldimand County; Lincoln; New Credit (Part) 40A; New Credit (Part) 40A; Niagara Falls; Niagara-on-the-Lake; Norfolk County; Pelham; Port Colborne; Six Nations (Part) 40; Six Nations (Part) 40; St. Catharines; Thorold; Wainfleet; Welland; West Lincoln,3c28a3af-9964-45e9-a8ac-310344949640,ae00b97b-3e30-4980-a142-ba43981f49ae
Kitchener--Waterloo--Barrie,1,7,6.964219,f,807663,807663,0.723490,1,t,Cambridge; Erin; Guelph; Guelph/Eramosa; Kitchener; North Dumfries; Puslinch; Waterloo; Wellesley; Wilmot; Woolwich,5f0d5013-16df-421b-bd43-4281bf8f5b0b,cecc228c-6f56-4644-8853-b5295840f879
Kitchener--Waterloo--Barrie,2,6,6.035781,f,699989,699989,0.632831,6,t,Adjala-Tosorontio; Amaranth; Barrie; Bradford West Gwillimbury; Centre Wellington; Christian Island 30; Christian Island 30A; Clearview; Collingwood; East Garafraxa; Essa; Grand Valley; Innisfil; Mapleton; Melancthon; Midland; Minto; Mnjikaning First Nation 32; Mono; Mulmur; New Tecumseth; Orangeville; Orillia; Oro-Medonte; Penetanguishene; Ramara; Severn; Shelburne; Springwater; Tay; Tiny; Wasaga Beach; Wellington North,4661e61d-6df4-4fef-b9c8-1b82c98945ac,cecc228c-6f56-4644-8853-b5295840f879
Lower Mainland--Southwest / L*,1,9,9.043197,f,1039957,1039957,0.698124,1,t,Delta; Musqueam 2; Musqueam 4; Richmond; Tsawwassen; Vancouver,0027658f-ef3b-4c55-88c7-cd94405c4d47,f90fc967-e20c-44a8-b9ca-a000ef9a427f
Lower Mainland--Southwest / L*,2,7,6.974332,f,802040,802040,0.736381,1,t,Coquitlam 1; Coquitlam 2; Langley; New Westminster; Port Coquitlam; Semiahmoo; Surrey; White Rock,06b537cb-3ebd-4e66-9082-8c4ab9ec6bad,f90fc967-e20c-44a8-b9ca-a000ef9a427f
Lower Mainland--Southwest / L*,3,6,6.151602,f,707427,707427,0.759443,5,t,Anmore; Barnston Island 3; Belcarra; Burnaby; Burrard Inlet 3; Capilano 5; Coquitlam; Greater Vancouver A; Katzie 1; Lions Bay; Mission 1; North Vancouver; North Vancouver; Pitt Meadows; Port Moody; Seymour Creek 2; West Vancouver,ceeb5c6a-f6de-4730-beb8-79895fb9edd3,f90fc967-e20c-44a8-b9ca-a000ef9a427f
Lower Mainland--Southwest / L*,4,6,5.830868,f,670543,670543,0.765389,24,t,Abbotsford; Aitchelitch 9; Albert Flat 5; Boothroyd 13; Boston Bar 1A; Bowen Island; Bridge River 1; Bucktum 4; Cayoosh Creek 1; Chawathil 4; Cheakamus 11; Cheam 1; Chehalis 5; Chekwelp 26; Chilhil 6; Chilliwack; Douglas 8; Fountain  1; Fountain  3; Fountain 10; Fountain 11; Fountain 12; Fountain 1B; Fountain Creek 8; Fraser Valley A; Fraser Valley B; Fraser Valley C; Fraser Valley D; Fraser Valley E; Fraser Valley F; Fraser Valley G; Fraser Valley H; Gibsons; Harrison Hot Springs; Holachten 8; Hope; Inkahtsaph 6; Kahmoose 4; Katzie 2; Kent; Kopchitchin 2; Kowtain 17; Kwawkwawapilt 6; Lakahahmen 11; Langley; Langley 5; Lillooet; Lillooet 1; Lukseetsissum 9; Maple Ridge; Matsqui 4; Matsqui Main 2; McCartney's Flat 4; McMillan Island 6; Mission; Mission 5; Mount Currie; Necait 6; Nequatque; Nesikep 6; Nesuch 3; Ohamil 1; Paqulh; Pashilqua 2; Pavilion 1; Pemberton; Peters 1; Popkum 1; Puckatholetchin 11; Q'alatkú7em; Sachteen; Saddle Rock 9; Schelowat 1; Schkam 2; Scowlitz 1; Seabird Island; Seaichem 16; Sechelt; Sechelt (Part); Seton Lake 5; Skawahlook 1; Skookumchuck 4; Skowkale; Skwah 4; Skwahla 2; Skwali 3; Skway 5; Skweahm 10; Slosh 1; Soowahlie 14; Speyum 3; Spuzzum 1; Squamish; Squamish-Lillooet A; Squamish-Lillooet B; Squamish-Lillooet C; Squamish-Lillooet D; Squawkum Creek 3; Squiaala; Stawamus 24; Stullawheets 8; Sunshine Coast A; Sunshine Coast B; Sunshine Coast D; Sunshine Coast E; Sunshine Coast F; Tipella 7; Towinock 2; Tseatah 2; Tuckkwiowhum 1; Tzeachten 13; Upper Sumas 6; Waiwakum 14; Whistler; Whonnock 1; Yakweakwioose 12; Yale Town 1; Yekwaupsum 18,46c17728-ac18-4b03-aa51-c1188c666363,f90fc967-e20c-44a8-b9ca-a000ef9a427f
Manitoba,1,5,4.801075,f,567023,567023,0.835959,5,t,Interlake; North / Nord; Parklands; South Central / Centre sud; Southeast / Sud-est; Southwest / Sud-ouest,135e339e-a920-4779-801b-85c9dd0f3016,99f1d663-f147-449b-82ce-d782a4d2dcf3
Manitoba,2,7,7.198925,f,850217,850217,0.758426,1,t,North Central / Centre nord; Winnipeg,8715883e-11f8-4548-a57c-329787233068,99f1d663-f147-449b-82ce-d782a4d2dcf3
Montréal,1,8,8.000374,f,930613,930613,0.785922,5,f,sub:Montréal — drawn district 1 (pop 930613),86baa72a-800a-4ffe-9cc4-dd254c2419e2,3388499d-63a3-4b70-9af8-7bfb0dda028f
Montréal,1,2,2.000000,t,255486,255486,0.314490,6,f,Baie-D'Urfé; Beaconsfield; Côte-Saint-Luc; Dollard-Des Ormeaux; Dorval; Hampstead; Kirkland; L'Île-Dorval; Mont-Royal; Montréal-Est; Montréal-Ouest; Pointe-Claire; Sainte-Anne-de-Bellevue; Senneville; Westmount,f3b2f7e6-ff0e-48a6-b9f4-6616dcbf8008,7350c441-108c-4725-9d40-1e48fa746b1f
