scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Chile,1,9,9.169726,f,678378,678378,0.845369,7,t,Región de Antofagasta,a0b374f9-7522-4dd9-aacd-461bd7fb4d21,a1ff92ee-d624-4cfd-be8f-852a8cb49d83
Chile,2,5,4.983619,f,368689,368689,0.873720,1,t,Región de Tarapacá,31b17d7b-0212-4829-bf98-9920cde2cc9c,a1ff92ee-d624-4cfd-be8f-852a8cb49d83
Chile,3,8,7.723109,f,571357,571357,0.324323,8,f,Región de Arica y Parinacota; Región de Atacama,bb28a025-eff7-4f48-8630-5c8cd9d79268,a1ff92ee-d624-4cfd-be8f-852a8cb49d83
Chile,4,9,8.804142,f,651332,651332,0.332868,2092,f,Región de Aysén del Gral.Ibañez del Campo; Región de Ñuble,f778bf38-5e5d-48c5-8b76-6cad19945ae7,a1ff92ee-d624-4cfd-be8f-852a8cb49d83
Chile,5,8,8.319404,f,615471,615471,0.215634,708,f,Región de Los Ríos; Región de Magallanes y Antártica Chilena,16a739d2-ead1-4866-8e61-f45d74c4c6e9,a1ff92ee-d624-4cfd-be8f-852a8cb49d83
Provincia de Cachapoal,1,5,5.049459,f,363859,363859,0.825305,1,t,Codegua; Graneros; Mostazal; Olivar; Rancagua,d59e411e-e3a2-4268-ae5a-26b45c675b7e,6f2f3978-dffc-487d-9c24-8ddfbcbd39ef
Provincia de Cachapoal,2,5,4.950541,f,356731,356731,0.711922,1,t,Coinco; Coltauco; Doñihue; Las Cabras; Machalí; Malloa; Peumo; Pichidegua; Quinta de Tilcoco; Rengo; Requínoa; San Vicente,89b8d03f-1026-4c32-9cb5-5df9f2ba4055,6f2f3978-dffc-487d-9c24-8ddfbcbd39ef
Provincia de Cautín,1,6,6.007326,f,419856,419856,0.808173,1,t,Cunco; Curarrehue; Freire; Gorbea; Lautaro; Loncoche; Melipeuco; Padre Las Casas; Perquenco; Pitrufquén; Pucón; Teodoro Schmidt; Toltén; Vilcún; Villarrica,d26cc4d5-1da2-45d6-946e-b53a48ef2ce0,7004519e-c9fd-41d6-83f5-5f1b896a7ba2
Provincia de Cautín,2,6,5.992674,f,418832,418832,0.833619,1,t,Carahue; Cholchol; Galvarino; Nueva Imperial; Saavedra; Temuco,26e3266f-6478-4c00-ab30-59afb5c73f92,7004519e-c9fd-41d6-83f5-5f1b896a7ba2
Provincia de Concepción,1,7,6.941943,f,513421,513421,0.710569,1,t,Chiguayante; Concepción; Florida; Hualqui; Penco; Santa Juana; Tomé,cd848f89-ede4-4a59-8fe8-911ef77a5bf0,f83e57d3-46be-4bef-8e7d-d07ff2135a7a
Provincia de Concepción,2,8,8.058057,f,595968,595968,0.307866,5,t,Coronel; Hualpén; Lota; San Pedro de la Paz; Talcahuano,72a91e99-2ea3-459e-b122-16c24bddd58e,f83e57d3-46be-4bef-8e7d-d07ff2135a7a
Provincia de Cordillera,1,1,0.733926,t,49878,49878,0.733611,1,t,Pirque; San José de Maipo,ec40730a-130e-4a38-a630-ec99cb8e2322,475a9629-ccdd-4ed8-9e49-48dfdf9b36df
Provincia de Cordillera,2,9,9.266074,f,629727,629727,0.842295,1,t,Puente Alto,a7072751-805a-4545-a4ad-7660475ccb84,475a9629-ccdd-4ed8-9e49-48dfdf9b36df
Provincia de Santiago,1,8,8.284587,f,606960,606960,0.621943,1,t,La Florida; La Pintana,35e8a800-0364-4db7-9ea8-2fbefaa39ef1,56e0fce1-3500-4d64-88f8-5d245c835a99
Provincia de Santiago,2,8,8.091053,f,592781,592781,0.741221,1,t,Cerrillos; El Bosque; La Cisterna; Lo Espejo; Pedro Aguirre Cerda,8df868cc-1a81-489f-bb38-41c456c00051,56e0fce1-3500-4d64-88f8-5d245c835a99
Provincia de Santiago,3,8,7.928817,f,580895,580895,0.872315,1,t,Maipú,8a7c7ee9-c6f6-4c7d-9247-b6c1faea2507,56e0fce1-3500-4d64-88f8-5d245c835a99
Provincia de Santiago,4,8,7.898516,f,578675,578675,0.787774,1,t,La Granja; Macul; San Joaquín; San Miguel; San Ramón,952b1154-a6ab-4502-9682-e4f5b0a26a7e,56e0fce1-3500-4d64-88f8-5d245c835a99
Provincia de Santiago,5,8,8.283181,f,606857,606857,0.822079,1,t,La Reina; Peñalolén; Ñuñoa,9c15b7b4-6b14-461d-84d0-0b645581d80a,56e0fce1-3500-4d64-88f8-5d245c835a99
