scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Afghanistan,1,5,5.078964,f,20928541,20928541,0.868432,1,t,Badghis; Balkh; Bamyan; Daykundi; Farah; Faryab; Ghanzi; Ghor; Helmand; Herat; Jowzjan; Kandahar; Nimruz; Paktika; Samangan; Sar-e Pol; Uruzgan; Wardak; Zabul,6d2a086d-f3bb-4694-8dd6-9e3104064add,8a4860cf-4340-4464-8570-2130fde10320
Afghanistan,2,5,4.921036,f,20277778,20277778,0.637691,1,t,Badakhshan; Baghlan; Kabul; Kapisa; Khost; Kunar; Kunduz; Laghman; Logar; Nangarhar; Nuristan; Paktia; Panjshir; Parwan; Takhar,971d23ab-5800-459a-8643-9ae156d7c266,8a4860cf-4340-4464-8570-2130fde10320
Algeria,1,6,5.999594,f,24567551,24997558,0.839614,1,t,Adrar; Annaba; Batna; Bejaia; Biskra; Bordj Bou Arreridj‎; Bouira; Béchar; Constantine; Djelfa; El Oued; El Tarf; Ghardaia; Guelma; Illizi; Jijel; Khenchela; Laghouat; M'Sila; Mila; Ouargla; Oum El Bouaghi; Skikda; Souk Ahras; Sétif; Tamanrasset; Tindouf; Tizi Ouzou; Tébessa,692632e5-2420-428c-bb40-6261b1e31e48,b62fde8a-57bb-46f1-9908-38c673073243
Algeria,2,5,5.000406,f,21264409,20834402,0.796288,1,t,Algiers; Aïn Defla; Aïn Témouchent; Blida; Boumerdès; Chlef; El Bayadh; Mascara; Mostaganem; Médéa; Naâma; Oran; Relizane; Saïda; Sidi Bel Abbès; Tiaret; Tipaza; Tissemsilt; Tlemcen,52966890-e503-49c7-a7a6-889e7de1b0af,b62fde8a-57bb-46f1-9908-38c673073243
Andhra Pradesh,1,7,7.108709,f,28091745,28091745,0.747849,1,t,Anantapur; Chittoor; Guntur; Kadapa(YSR); Kurnool; Prakasam; Sri Potti Sriramulu Nellore,0ad84fb8-2939-4572-af00-bbe84abe0716,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,2,6,5.891291,f,23280831,23280831,0.669686,2,t,East Godavari; Krishna; Srikakulam; Visakhapatnam; Vizianagaram; West Godavari; Yanam,56b7fdb8-ebd5-4b5e-8fbe-d8d9e7d3e7dc,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Anhui Province,1,8,7.851123,f,31600273,31600273,0.773674,1,t,Anqingshi; Chaohushi; Chaohushi; Chuzhoushi; Dangtuxian; Dongzhixian; Fanchangxian; Feidongxian; Feixixian; Gaochunxian; Guangdexian; Guichishi; Hanshanxian; Hefeishi; Hexian; Huainingxian; Huangshanshi; Huangshanshi; Huoshanxian; Jiangpuxian; Jingdexian; Jingxian; Jinzaixian; Jixixian; Laianxian; Langxixian; Liuanshi; Lujiangxian; Maanshanshi; Nanlingxian; Ningguoshi; Qianshanxian; Qimenxian; Qingyangxian; Quanjiaoxian; Shexian; Shitaixian; Shuchengxian; Susongxian; Taihuxian; Tianchangshi; Tongchengxian; Tonglingshi; Tonglingxian; Wangjiangxian; Wuhushi; Wuhuxian; Wuweixian; Xiuningxian; Xuanzhoushi; Yixian; Yuexixian; Zongyangxian,f5bb2430-bb71-40bd-bfa7-f1ddc549760e,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Anhui Province,2,7,7.148877,f,28773781,28773781,0.816737,1,t,Bangbushi; Bozhoushi; Changfengxian; Dafengshi; Dingyuanxian; Fengtaixian; Fengyangxian; Funanxian; Fuyangshi; Fuyangshi; Guzhenxian; Huaibeishi; Huainanshi; Huaiyuanxian; Huoqiuxian; Jiashanxian; Jieshoushi; Lingbixian; Lixingxian; Mengchengxian; Shouxian; Shuzhoushi; Suixixian; Suzhoushi; Taihexian; Woyangxian; Wuhexian; Xiaoxian; Yingshangxian,00e1e667-ba1a-4278-a3b2-cbf83ee77581,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Argentina,1,5,5.078434,f,21209758,21209758,0.529142,3,t,Buenos Aires; Chubut; Ciudad Autónoma de Buenos Aires; La Pampa; Neuquén; Río Negro; Santa Cruz; Tierra del Fuego,63c519ea-a973-415a-bbb7-2512b5b96ba7,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Argentina,2,5,4.921566,f,20554610,20554610,0.819063,1,t,Catamarca; Chaco; Corrientes; Córdoba; Formosa; Jujuy; La Roja; Mendoza; Misiones; Salta; San Juan; San Luis; Santa Fe; Santiago del Estero; Tucumán,3f589bae-fc09-4b69-8d69-5f772a9dba04,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Bangladesh,1,8,7.996307,f,32441261,32441261,0.573110,9,t,Chittagong,c44e3a21-3e46-4125-bcac-cdcc61d910da,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,2,5,4.539419,f,18416563,18416563,0.806814,2,t,Rangpur,030f6c4c-d699-4e69-8edd-b88db1b21f21,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,3,9,9.253232,f,37540643,37540643,0.431684,10,f,Barisal; Khulna; Sylhet,6366095e-865b-4386-9540-0ead5874a94f,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,4,8,8.211042,f,33312447,33312447,0.744339,1,t,Mymensingh; Rajshani,9b153447-a78c-478f-b611-cd79f4e9a50f,012617d0-cb99-4ad5-9623-d1279d3b7170
Bihār,1,8,8.033352,f,32661622,32661622,0.662608,1,t,Begusarai; Darbhanga; Jamui; Lakhisarai; Munger; Muzaffarpur; Nawada; Samastipur; Vaishali,b955b63e-6877-45a3-8712-26874bc3d309,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,2,8,7.885694,f,32061282,32061282,0.822695,1,t,Arwal; Aurangabad; Bhojpur; Buxar; Gaya; Jehanabad; Kaimur (Bhabua); Nalanda; Patna; Rohtas; Sheikhpura,8fdefa68-c171-45e5-80c0-7e9d090f3c7f,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,3,8,8.087320,f,32881045,32881045,0.597310,1,t,Gopalganj; Madhubani; Pashchim Champaran; Purba Champaran; Saran; Sheohar; Sitamarhi; Siwan,b5e6c59a-6645-4dd9-9ff0-c2a54c37293e,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,4,8,7.993634,f,32500141,32500141,0.732632,1,t,Araria; Banka; Bhagalpur; Katihar; Khagaria; Kishanganj; Madhepura; Purnia; Saharsa; Supaul,495a6913-6820-47a2-91bf-018b724a2716,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Brazil,1,7,7.261448,f,29268060,29268060,0.710298,1,t,Alagoas; Bahia; Pernambuco; Sergipe,9e98918f-db17-4336-a70b-acffcc08062b,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,2,8,7.788997,f,31394405,31394405,0.818062,6,t,Bombinhas; Parana; Rio Grande do Sul; Santa Catarina,7461717f-031b-4132-b4d2-c4108ba23206,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,3,8,7.893293,f,31814782,31814782,0.844234,1,t,Distrito Federal; Goias; Minas Gerais,c4516b90-8dcd-4631-ade4-275c11179549,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,4,6,5.797925,f,23369172,23369172,0.746679,1,t,Acre; Amapa; Amazonas; Mato Grosso; Mato Grosso do Sul; Para; Rondonia; Roraima,6826d9fb-3ec2-432e-8021-63377a404e4d,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,5,5,5.093217,f,20528767,20528767,0.572324,1,t,Espirito Santo; Rio de Jeneiro,1b9fffcc-89ff-4d9e-8af2-15b0f70da62f,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,6,7,7.165119,f,28879797,28879797,0.693378,4,t,Ceara; Fernando de Noronha; Maranhao; Paraiba; Piaui; Raposa; Rio Granda do Norte; Tocantins,664fdb22-a1f8-427d-b7f6-42ff663d4e21,8865c0ea-20a4-4836-bd0b-aef668dcf660
California,1,5,5.100478,f,20055315,20055315,0.780342,9,t,Alameda; Alpine; Amador; Butte; Calaveras; Colusa; Contra Costa; Del Norte; El Dorado; Fresno; Glenn; Humboldt; Kern; Kings; Lake; Lassen; Madera; Marin; Mariposa; Mendocino; Merced; Modoc; Mono; Monterey; Napa; Nevada; Placer; Plumas; Sacramento; San Benito; San Francisco; San Joaquin; San Luis Obispo; San Mateo; Santa Barbara; Santa Clara; Santa Cruz; Shasta; Sierra; Siskiyou; Solano; Sonoma; Stanislaus; Sutter; Tehama; Trinity; Tulare; Tuolumne; Ventura; Yolo; Yuba,65816c62-0ec6-46bb-84ac-06febdb21f51,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,2,6,5.899522,f,23197194,23197194,0.770039,3,t,Imperial; Inyo; Los Angeles; Orange; Riverside; San Bernardino; San Diego,a19e3242-ea4b-44ad-891f-275fe0d87387,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
Canada,1,5,4.997822,f,19521079,19521079,0.424417,292,f,Alberta; Ontario,8faa6308-8900-4616-9c47-542979c44039,70f5b9f3-48b5-4be7-8045-f62fb883343b
Canada,2,5,5.002178,f,19538096,19538096,0.540181,6567,t,British Columbia; Manitoba; New Brunswick; Newfoundland and Labrador; Northwest Territories; Nova Scotia; Nunavut; Prince Edward Island; Quebec; Saskatchewan; Yukon,07e3f573-7f9d-4e88-9ca1-b98268adea37,70f5b9f3-48b5-4be7-8045-f62fb883343b
China,1,9,8.516396,f,35108852,35108852,0.876887,1,t,Shanxi Province,632febcb-e0b8-4227-9bd4-d34aeae309ec,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,2,8,7.611727,f,31379351,31379351,0.640318,1,t,Heilongjiang Province,297564ce-4a52-4b14-9afe-c988a465c227,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,3,6,6.111788,f,25195853,25195853,0.529652,1,t,Gansu Province,f01ff26d-a151-413e-b931-d4ea080d957f,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,4,6,6.386459,f,26328184,26328184,0.829542,1,t,Xinjiang Uyghur Autonomous Region,46e93ecd-733c-412a-8ef4-136d649982b6,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,5,6,5.903425,f,24336876,24336876,0.744867,1,t,Jilin Province,852e4056-f84f-4f7b-ba52-bea977c73c68,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,6,6,5.861792,f,24165245,24165245,0.522712,1,t,Inner Mongolia Autonomous Region,dfd42f4e-ec2b-4df1-93ba-02f43a900a77,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,7,9,9.375194,f,38649249,38649249,0.312281,2,f,Chongqing Municipality; Ningxia Ningxia Hui Autonomous Region,bd8bad2b-24e0-4a7d-8cd9-48b36d6aaaf7,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,8,6,5.851624,f,24123327,24123327,0.736289,3,t,Shanghai Municipality,472b374d-0dcc-4493-b2e0-a00dda0d3e2e,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,9,9,8.867425,f,36555968,36555968,0.748612,1,t,Beijing Municipality; Tianjin Municipality,fc80b4a5-92a7-4527-aa03-9aa7d09005f4,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,10,6,6.341331,f,26142143,26142143,0.230129,5,t,Hong Kong Special Administrative Region; Macau Special Administrative Region; Taiwan Province,b56a83a3-cb82-4ab7-b76e-fd42103d2d26,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,11,5,5.172839,f,21325035,21325035,0.522249,2,t,Hainan Province; Qinghai Province; Tibet Autonomous Region,a5a97bd7-16db-47c5-8cc6-a5e0a79a4b99,9cc5635f-f158-49c5-be62-9f0328ba2d66
Colombia,1,7,6.924029,f,27738463,27738463,0.773325,5,t,Amazonas; Arauca; Bogota Capital District; Boyacá; Caldas; Caquetá; Casanare; Cauca; Cundinamarca; Guainía; Guaviare; Huila; Meta; Nariño; Putumayo; Quindío; Tolima; Valle del Cauca; Vaupés; Vichada,e5f691af-ecb5-4b92-90ff-9b2dc7acab86,ee9fc592-86d7-4c57-ac1d-4de831c42310
Colombia,2,6,6.075971,f,24341048,24341048,0.375080,11,t,"Antioquia; Archipiélago de San Andrés, Providencia y Santa Catalina; Atlántico; Bolívar; Cesar; Chocó; Córdoba; La Guajira; Magdalena; Norte de Santander; Risaralda; Santander; Sucre",a130a8de-71a8-4139-acb8-3d2aafbcd5ea,ee9fc592-86d7-4c57-ac1d-4de831c42310
Democratic Republic of the Congo,1,9,8.951834,f,35837972,35837972,0.566064,1,t,Central Kasai; Haut-Katanga; Haut-Lomami; Kasai-Oriental; Lomami; Lualaba; Mongala; Nord-Ubangi; Sankuru; Sud-Ubangi; Tshuapa; Équateur,8f0c5b4a-fa75-4ac4-8c00-d5c8d74e9bcb,6fc76783-7fee-4ad3-9cf2-59fc5f93e7f8
Democratic Republic of the Congo,2,8,8.038269,f,32180585,32180585,0.750671,14,t,Kasai; Kinshasa; Kongo-Central; Kwango; Kwilu; Mai-Ndombe,dc6aa7af-b5aa-4924-8d7f-30c6df103e50,6fc76783-7fee-4ad3-9cf2-59fc5f93e7f8
Democratic Republic of the Congo,3,9,9.009896,f,36070418,36070418,0.755767,2,t,Ituri; Lower Uele; Maniema; North Kivu; South Kivu; Tanganyika; Tshopo; Upper Uele,30064fac-cb5c-4cb0-849b-d3f74562262e,6fc76783-7fee-4ad3-9cf2-59fc5f93e7f8
