scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Al Sharqia Governorate,1,9,8.569214,f,2150571,2150571,0.751015,1,t,Al-Qanayat; El-Ibrahimiya; Hihya; Zaqaziq; Zaqaziq 1; Zaqaziq 2,35c7f09a-d18a-4cfb-83ca-0687def290b3,b26fb4de-a385-45fd-bb89-1d85d26ba82e
Al Sharqia Governorate,2,8,8.482361,f,2128774,2128774,0.745761,1,t,Bilbis; Mashtul Al-Suq; Minya al-Qamh,85797f7a-8941-4752-9d36-719721270e25,b26fb4de-a385-45fd-bb89-1d85d26ba82e
Al Sharqia Governorate,3,9,8.857195,f,2222844,2222844,0.514210,1,t,10 Ramadan 2; Abu Hammad; Abu Kabir; Dyarb Nigm; Kafr Saqr; Zemam Out,aa7ea97b-b828-443d-88e6-fefaa9221fd4,b26fb4de-a385-45fd-bb89-1d85d26ba82e
Al Sharqia Governorate,4,8,8.091231,f,2030614,2030614,0.861826,1,t,Al-Husayniya; Al-Salhiyya; Awlad Saqr; Faqus; Faqus; Qurin,5848138e-ac07-4841-b526-b30d1a41782d,b26fb4de-a385-45fd-bb89-1d85d26ba82e
Alexandria Governorate,1,9,8.918721,f,2017684,2017684,0.756850,1,t,Al Raml; Bab Sharqi; Karmuz; Kesm than Al Raml; Muharam Bik; Sidi Gabir,79bf4991-a621-43f3-9400-6247d1638d4a,311e3570-1272-4124-b45b-38aec7552353
Alexandria Governorate,2,9,8.888853,f,2010927,2010927,0.649093,1,t,A L Labban; Al Amreia; Al Attarin; Al Dikhila; Al Gumruk; Al Manshiyya; Burg Al-Arab City; Mina Al-Basal; Port Alexandria Police Department; Zemam Out,374fa37c-c395-4a77-9059-6427d7cb034d,311e3570-1272-4124-b45b-38aec7552353
Alexandria Governorate,3,8,8.192426,f,1853374,1853374,0.834749,1,t,Muntazah,c1484a07-2d11-4bab-8194-d8df5c72e016,311e3570-1272-4124-b45b-38aec7552353
Asyut Governorate,1,7,7.014598,f,1824930,1824930,0.694154,4,t,Al-Qusia; Dayrut; Manfalut,7add53ef-0bf6-4dd3-bb80-297955b6964c,78a2335c-3d6a-4bcc-a38d-5f10ac5b99ac
Asyut Governorate,2,7,6.825657,f,1775775,1775775,0.627444,1,t,Abu Tig; Assuit; Kesm Awal Assuit; Kesm Than Assuit; Sidfa,a4ccfc1b-ba8c-4840-97f1-dcbdaf65005f,78a2335c-3d6a-4bcc-a38d-5f10ac5b99ac
Asyut Governorate,3,6,6.159745,f,1602530,1602530,0.845526,2,t,Abnub; Al- Badari; Alfath; Assuit City; Sahil Silim; Zemam Out,566ab531-f2c1-4ae8-b0c4-ce5fab996c25,78a2335c-3d6a-4bcc-a38d-5f10ac5b99ac
Beheira Governorate,1,8,8.313481,f,2006727,2006727,0.855543,1,t,Abu-l-Matamir; Al-Dilingat; Badr; Hush Isa; Nubariyya West; Wadi Al-NatrUn; Zemam Out,5adc613c-c826-4ce7-98de-8e7a3b7df43e,224bc5a2-a8af-4b98-9abf-0ba21aa59a0d
Beheira Governorate,2,7,7.064739,f,1705303,1705303,0.665390,1,t,Al-Rahmaniyya; Itay Al-Barud; Kum Hamada; Shubra Khît,22868c7a-438b-414e-b241-d3aef2ad9e33,224bc5a2-a8af-4b98-9abf-0ba21aa59a0d
Beheira Governorate,3,8,8.021947,f,1936356,1936356,0.793288,1,t,Abu Hummus; Al-Mahmudiyya; Damanhur; Damanhur,a1f5121a-b714-40af-98ef-3bf78bf9d9ea,224bc5a2-a8af-4b98-9abf-0ba21aa59a0d
Beheira Governorate,4,8,7.599833,f,1834465,1834465,0.538921,1,t,Idku; Kafr Al-Dawwar; Kafr Al-Dawwar; Rashid,7d6383a5-74aa-40af-b3a2-eab19800688e,224bc5a2-a8af-4b98-9abf-0ba21aa59a0d
