scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Andhra Pradesh,1,7,7.365702,f,9459877,9459877,0.811933,1,t,East Godavari; West Godavari; Yanam,4432695d-e051-4117-b44b-e68f50a3d5ce,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,2,8,7.863378,f,10099049,10099049,0.733282,2,t,Guntur; Krishna,9527ee7d-d42e-46a2-8f2e-e3be92c0bb59,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,3,7,6.877251,f,8832553,8832553,0.720573,1,t,Srikakulam; Visakhapatnam; Vizianagaram,6432415b-d23f-4ceb-be0f-dc0159802c79,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,4,9,8.635171,f,11090274,11090274,0.686660,1,t,Anantapur; Kurnool; Prakasam,ba178091-c465-4069-a557-c65ae4e5b3a9,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,5,9,9.258499,f,11890823,11890823,0.787958,1,t,Chittoor; Kadapa(YSR); Sri Potti Sriramulu Nellore,ed79fec9-3d83-4755-9647-6ab2285a79ce,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Assam,1,7,6.979899,f,8494264,8494264,0.669889,9,t,Biswanath; Cachar; Dima Hasao; Golaghat; Hailakandi; Hojai; Karbi Anglong East; Karbi Anglong West; Karimganj; Majuli,202581ee-d3c1-4003-842c-43f696acb0e4,a267d3e8-3d19-461c-ab45-204a28a37b49
Assam,2,7,7.019710,f,8542712,8542712,0.735183,1,t,Charaideo; Dhemaji; Dibrugarh; Jorhat; Lakhimpur; Sivasagar; Tinsukia,501c9f16-8a0f-45a9-be8a-0e3ed060cbdf,a267d3e8-3d19-461c-ab45-204a28a37b49
Assam,3,8,8.028497,f,9770367,9770367,0.694102,1,t,Barpeta; Bongaigaon; Chirang; Dhubri; Goalpara; Kamrup; Kokrajhar; Nalbari; South Salmara-Mankachar,dda77b88-9d85-4d84-88b7-ae94999dd3e9,a267d3e8-3d19-461c-ab45-204a28a37b49
Assam,4,7,6.971894,f,8484522,8484522,0.736997,2,t,Baksa; Darrang; Morigaon; Nagaon; Sonitpur; Udalguri,3e445f5b-079e-4bc1-ae3c-61daf5d1e5f7,a267d3e8-3d19-461c-ab45-204a28a37b49
Bihār,1,8,8.048173,f,10265688,10265688,0.656101,1,t,Banka; Bhagalpur; Katihar,eda62f06-3f20-4a41-aa51-aa7e55425deb,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,2,8,8.360995,f,10664703,10664703,0.805967,1,t,Pashchim Champaran; Purba Champaran,5928ad18-5275-4516-bf8c-fc3ada2249b9,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,3,6,5.863072,f,7478526,7478526,0.608902,1,t,Patna,05148020-0e2b-4417-835f-dd65e77a2631,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
