scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
ARMM,1,9,8.758916,f,2311511,2311511,0.643678,2,t,Maguindanao,fb6a6945-cb4c-4e1d-bfe6-ae2f8c31a7ea,9570c85b-5e76-4e71-a071-28f2d0996331
ARMM,2,5,4.744710,f,1252147,1252147,0.706669,1,t,Lanao del Sur,a92ba045-504a-4470-a05a-ea92a228d2ed,9570c85b-5e76-4e71-a071-28f2d0996331
ARMM,3,5,5.496374,f,1450514,1450514,0.039099,395,t,Sulu; Tawi-Tawi,0aabba5c-9bdf-46e5-88ca-79a2bd1cf2be,9570c85b-5e76-4e71-a071-28f2d0996331
Batangas,1,7,6.999959,f,1641276,1641276,0.662032,7,t,Alitagtag; Batangas City; Bauan; Cuenca; Ibaan; Lipa City; Lobo; Mabini; Padre Garcia; Rosario; San Jose; San Juan; San Luis; San Pascual; Taysan; Tingloy,6090a10f-36df-4b03-9b22-1d974fa548a0,593beeec-86b2-479c-a109-f51548246653
Batangas,2,6,6.000041,f,1406826,1406826,0.491518,21,t,Agoncillo; Balayan; Balete; Calaca; Calatagan; City of Tanauan; Laurel; Lemery; Lian; Malvar; Mataasnakahoy; Nasugbu; San Nicolas; Santa Teresita; Santo Tomas; Taal; Talisay; Tuy,f88c9544-e27e-40f5-a26b-b59c7f270663,593beeec-86b2-479c-a109-f51548246653
Bicol Region,1,9,9.199648,f,2163622,2163622,0.581591,72,t,Camarines Sur,1fc23711-bb53-409e-968f-466e000afc53,dcc1e3a2-d5ab-4a0b-88c3-a2f73700d15b
Bicol Region,2,9,8.915221,f,2096729,2096729,0.274460,41,f,Albay; Camarines Norte,b333ca1c-9b2c-43c3-bb0b-c65dc97fb0b2,dcc1e3a2-d5ab-4a0b-88c3-a2f73700d15b
Bicol Region,3,9,8.885130,f,2089652,2089652,0.229964,78,f,Catanduanes; Masbate; Sorsogon,e749ac58-f233-44ea-b530-a13eb6ab50b2,dcc1e3a2-d5ab-4a0b-88c3-a2f73700d15b
Bulacan,1,8,8.183033,f,1988586,1988586,0.826118,1,t,Balagtas; Baliuag; Bocaue; Bulacan; Bustos; Calumpit; City of Malolos; Guiguinto; Hagonoy; Pandi; Paombong; Plaridel; Pulilan; Santa Maria,c76b1117-70d8-4a1c-9467-bf1256150e50,394af1ef-c477-47ea-ae6d-a47bdb2aabfd
Bulacan,2,8,7.816967,f,1899627,1899627,0.798562,2,t,Angat; City of Meycauayan; City of San Jose del Monte; Doña Remedios Trinidad; Marilao; Norzagaray; Obando; San Ildefonso; San Miguel; San Rafael,3c38a8bb-5a8c-4bac-b37f-0bc9ffd6002c,394af1ef-c477-47ea-ae6d-a47bdb2aabfd
CAR,1,5,5.060692,f,867835,867835,0.910398,1,t,Benguet,08d4ad6f-e50a-4bc4-a4fe-89c59b61d3d5,1f1636e6-d842-423f-bd36-ebdd223a2164
CAR,2,6,5.939308,f,1018505,1018505,0.821957,1,t,Abra; Apayao; Ifugao; Kalinga; Mountain Province,16a295bf-b799-4f0b-b178-6d82dae7094b,1f1636e6-d842-423f-bd36-ebdd223a2164
Cagayan Valley,1,8,7.747151,f,1872360,1872360,0.236317,33,f,Batanes; Cagayan; Nueva Vizcaya,fd0d69cc-7d00-49bf-9359-d705ee253bbd,cc14a87e-910a-4386-b99a-2fd801867a4e
Cagayan Valley,2,8,8.252849,f,1994579,1994579,0.845497,9,t,Isabela; Quirino,195bb7f6-863d-4b32-9c07-4216fc2e35fd,cc14a87e-910a-4386-b99a-2fd801867a4e
Caraga,1,6,6.088406,f,1484499,1484499,0.388350,110,t,Agusan del Norte; Dinagat Islands; Surigao del Norte,847b3e18-e96b-4f1c-9683-87838571941b,04939616-b180-43e4-bdcc-c5cf0094c78e
Caraga,2,6,5.911594,f,1441388,1441388,0.758171,11,t,Agusan del Sur; Surigao del Sur,84dbe243-964c-45fb-a2f6-09cfb2ba9aa2,04939616-b180-43e4-bdcc-c5cf0094c78e
Cavite,1,7,7.061303,f,1689468,1689468,0.800496,4,t,Alfonso; Amadeo; City of General Trias; General Emilio Aguinaldo; Indang; Magallanes; Maragondon; Mendez; Naic; Noveleta; Rosario; Tanza; Ternate; Trece Martires City,4ec12799-304b-40ab-88a5-6f28c94299ae,32b47742-10bc-4059-968b-1b849950d616
