scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Afghanistan,1,5,5.016144,f,20669683,20669683,0.843621,1,t,Badghis; Bamyan; Daykundi; Farah; Faryab; Ghanzi; Ghor; Helmand; Herat; Jowzjan; Kandahar; Khost; Logar; Nimruz; Paktia; Paktika; Sar-e Pol; Uruzgan; Wardak; Zabul,a724e48c-d288-40f4-baa9-fc22667a870e,8a4860cf-4340-4464-8570-2130fde10320
Afghanistan,2,5,4.983856,t,20536636,20536636,0.631082,1,t,Badakhshan; Baghlan; Balkh; Kabul; Kapisa; Kunar; Kunduz; Laghman; Nangarhar; Nuristan; Panjshir; Parwan; Samangan; Takhar,9d27b2cc-7fba-47f1-8a85-2daa02279578,8a4860cf-4340-4464-8570-2130fde10320
Algeria,1,6,5.973819,f,24890165,24890165,0.863680,1,t,Adrar; Annaba; Batna; Bejaia; Biskra; Bordj Bou Arreridj‎; Bouira; Béchar; Constantine; Djelfa; El Bayadh; El Oued; El Tarf; Ghardaia; Guelma; Illizi; Jijel; Khenchela; Laghouat; M'Sila; Mila; Naâma; Ouargla; Oum El Bouaghi; Saïda; Skikda; Souk Ahras; Sétif; Tamanrasset; Tindouf; Tissemsilt; Tébessa,07e5df49-e93c-4177-a0b3-1b7f0e542897,b62fde8a-57bb-46f1-9908-38c673073243
Algeria,2,5,5.026181,f,20941795,20941795,0.706302,1,t,Algiers; Aïn Defla; Aïn Témouchent; Blida; Boumerdès; Chlef; Mascara; Mostaganem; Médéa; Oran; Relizane; Sidi Bel Abbès; Tiaret; Tipaza; Tizi Ouzou; Tlemcen,2a0d6729-15a7-4684-85aa-26e686876400,b62fde8a-57bb-46f1-9908-38c673073243
Andhra Pradesh,1,7,7.108709,f,28091745,28091745,0.747849,1,t,Anantapur; Chittoor; Guntur; Kadapa(YSR); Kurnool; Prakasam; Sri Potti Sriramulu Nellore,dfbecf01-49f9-4f62-9d12-10009f935eb2,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,2,6,5.891291,f,23280831,23280831,0.669686,2,t,East Godavari; Krishna; Srikakulam; Visakhapatnam; Vizianagaram; West Godavari; Yanam,982b6775-ba17-4c75-8317-ea456baaee45,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Anhui Province,1,5,4.985743,t,20067303,20067303,0.827859,1,t,Anqingshi; Chaohushi; Chaohushi; Dangtuxian; Dongzhixian; Fanchangxian; Gaochunxian; Guangdexian; Guichishi; Hanshanxian; Hexian; Huainingxian; Huangshanshi; Huangshanshi; Huoshanxian; Jiangpuxian; Jingdexian; Jingxian; Jixixian; Langxixian; Lujiangxian; Maanshanshi; Nanlingxian; Ningguoshi; Qianshanxian; Qimenxian; Qingyangxian; Shexian; Shitaixian; Shuchengxian; Susongxian; Taihuxian; Tongchengxian; Tonglingshi; Tonglingxian; Wangjiangxian; Wuhushi; Wuhuxian; Wuweixian; Xiuningxian; Xuanzhoushi; Yixian; Yuexixian; Zongyangxian,4a9beecc-dbe2-434c-a2b1-f701bfa79e8b,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Anhui Province,2,5,5.023164,f,20217919,20217919,0.767940,1,t,Bangbushi; Changfengxian; Chuzhoushi; Dingyuanxian; Feidongxian; Feixixian; Fengyangxian; Hefeishi; Huainanshi; Huoqiuxian; Jiashanxian; Jinzaixian; Laianxian; Liuanshi; Quanjiaoxian; Shouxian; Tianchangshi; Yingshangxian,6f2e787e-bf96-4a3a-acfd-d816705a96f1,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Anhui Province,3,5,4.991092,t,20088832,20088832,0.758866,1,t,Bozhoushi; Dafengshi; Fengtaixian; Funanxian; Fuyangshi; Fuyangshi; Guzhenxian; Huaibeishi; Huaiyuanxian; Jieshoushi; Lingbixian; Lixingxian; Mengchengxian; Shuzhoushi; Suixixian; Suzhoushi; Taihexian; Woyangxian; Wuhexian; Xiaoxian,e628d5d1-1a95-4d35-9503-004a225beb0f,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Argentina,1,5,4.988903,t,20835840,20835840,0.476031,3,t,Buenos Aires; Chubut; Ciudad Autónoma de Buenos Aires; Neuquén; Río Negro; Santa Cruz; Tierra del Fuego,abfc43f0-fc3e-460d-81c1-1f77c4602b02,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Argentina,2,5,5.011097,f,20928528,20928528,0.775472,1,t,Catamarca; Chaco; Corrientes; Córdoba; Formosa; Jujuy; La Pampa; La Roja; Mendoza; Misiones; Salta; San Juan; San Luis; Santa Fe; Santiago del Estero; Tucumán,cf23443a-824a-4f28-bb72-8b96d2f4aa83,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Bangladesh,1,8,7.996307,f,32441261,32441261,0.573110,9,t,Chittagong,6ef8724d-ea12-4947-b8c0-ede9a9415418,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,2,7,7.291345,f,29581209,29581209,0.492731,3,f,Rangpur; Sylhet,12093e19-6370-4450-9d11-2e11448c37b3,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,3,7,6.501306,f,26375997,26375997,0.754155,9,t,Barisal; Khulna,8452863e-17bf-4dd9-a2e3-13349dec3866,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,4,8,8.211042,f,33312447,33312447,0.744339,1,t,Mymensingh; Rajshani,6945503f-2b50-4748-91f8-be2e3412f39d,012617d0-cb99-4ad5-9623-d1279d3b7170
Bihār,1,8,7.889595,f,32077143,32077143,0.706050,1,t,Arwal; Aurangabad; Bhojpur; Buxar; Gaya; Jamui; Jehanabad; Kaimur (Bhabua); Lakhisarai; Munger; Nalanda; Nawada; Rohtas; Sheikhpura,1245ec3c-4973-42bb-a68a-5a2993317b5e,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,2,8,7.993634,f,32500141,32500141,0.732632,1,t,Araria; Banka; Bhagalpur; Katihar; Khagaria; Kishanganj; Madhepura; Purnia; Saharsa; Supaul,3bf841ac-e6eb-4b9c-bd5f-a514f02989e5,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,3,8,8.087320,f,32881045,32881045,0.597310,1,t,Gopalganj; Madhubani; Pashchim Champaran; Purba Champaran; Saran; Sheohar; Sitamarhi; Siwan,e663a213-6163-43b3-bc75-e8bb3a6c0ec8,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,4,8,8.029451,f,32645761,32645761,0.776905,1,t,Begusarai; Darbhanga; Muzaffarpur; Patna; Samastipur; Vaishali,da9b28bf-47c4-4c9f-b6cb-05d54ab92ced,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Brazil,1,8,8.362563,f,33706225,33706225,0.741018,1,t,Acre; Amapa; Amazonas; Distrito Federal; Goias; Mato Grosso; Mato Grosso do Sul; Para; Rondonia; Roraima,84238771-b035-46b9-bcc3-c20af05b1126,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,2,8,7.788997,f,31394405,31394405,0.818062,6,t,Bombinhas; Parana; Rio Grande do Sul; Santa Catarina,d5dcc415-e9df-429e-8638-48bf20231dff,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,3,8,7.746129,f,31221618,31221618,0.621931,5,f,Ceara; Fernando de Noronha; Maranhao; Paraiba; Piaui; Raposa; Rio Granda do Norte; Sergipe; Tocantins,19d0f5df-d562-4fb0-9881-1eef1a7d91c7,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,4,9,9.419508,f,37966356,37966356,0.777984,1,t,Minas Gerais; Rio de Jeneiro,a91ce358-eab8-48f1-816a-62df0ef292c5,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,5,8,7.682803,f,30966379,30966379,0.620311,1,t,Alagoas; Bahia; Espirito Santo; Pernambuco,77dbbdca-0f27-4685-958e-205fab08fbc9,8865c0ea-20a4-4836-bd0b-aef668dcf660
California,1,6,5.971331,f,23479548,23479548,0.598991,9,t,Imperial; Kern; Los Angeles; Orange; Riverside; San Diego; San Luis Obispo; Santa Barbara; Ventura,60e61e3e-fe12-457f-9f04-ecac008d4362,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,2,5,5.028669,f,19772961,19772961,0.717356,3,t,Alameda; Alpine; Amador; Butte; Calaveras; Colusa; Contra Costa; Del Norte; El Dorado; Fresno; Glenn; Humboldt; Inyo; Kings; Lake; Lassen; Madera; Marin; Mariposa; Mendocino; Merced; Modoc; Mono; Monterey; Napa; Nevada; Placer; Plumas; Sacramento; San Benito; San Bernardino; San Francisco; San Joaquin; San Mateo; Santa Clara; Santa Cruz; Shasta; Sierra; Siskiyou; Solano; Sonoma; Stanislaus; Sutter; Tehama; Trinity; Tulare; Tuolumne; Yolo; Yuba,90347898-ccda-4dd8-a8a7-633e6c29b31e,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
Canada,1,5,4.997822,t,19521079,19521079,0.424417,292,f,Alberta; Ontario,3140a956-991a-48b2-b24e-65cff1029e0f,70f5b9f3-48b5-4be7-8045-f62fb883343b
Canada,2,5,5.002178,f,19538096,19538096,0.540181,6567,t,British Columbia; Manitoba; New Brunswick; Newfoundland and Labrador; Northwest Territories; Nova Scotia; Nunavut; Prince Edward Island; Quebec; Saskatchewan; Yukon,26d63554-b302-4a74-8c43-9d75b3e9f805,70f5b9f3-48b5-4be7-8045-f62fb883343b
China,1,9,8.516396,f,35108852,35108852,0.876887,1,t,Shanxi Province,7b615f78-f421-42d1-b8c8-125ddfd362ac,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,2,8,7.611727,f,31379351,31379351,0.640318,1,t,Heilongjiang Province,63afe38a-4044-4870-8bce-76fd7dfbfc0a,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,3,6,6.111788,f,25195853,25195853,0.529652,1,t,Gansu Province,95bb9fae-5c98-4795-8704-e1f9d80d68d5,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,4,6,6.386459,f,26328184,26328184,0.829542,1,t,Xinjiang Uyghur Autonomous Region,70d913bb-1188-48cf-80f1-9f4686993e13,9cc5635f-f158-49c5-be62-9f0328ba2d66
