scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Afghanistan,1,5,5.016144,f,20669683,20669683,0.843621,1,t,Badghis; Bamyan; Daykundi; Farah; Faryab; Ghanzi; Ghor; Helmand; Herat; Jowzjan; Kandahar; Khost; Logar; Nimruz; Paktia; Paktika; Sar-e Pol; Uruzgan; Wardak; Zabul,a4108157-2d79-4cc6-b85e-2546f1ddfcf3,8a4860cf-4340-4464-8570-2130fde10320
Afghanistan,2,5,4.983856,t,20536636,20536636,0.631082,1,t,Badakhshan; Baghlan; Balkh; Kabul; Kapisa; Kunar; Kunduz; Laghman; Nangarhar; Nuristan; Panjshir; Parwan; Samangan; Takhar,168e5e15-e6e0-4423-afd5-f38abbb9f8e5,8a4860cf-4340-4464-8570-2130fde10320
Algeria,1,5,5.158937,f,21494927,21494927,0.757310,1,t,Annaba; Batna; Bejaia; Biskra; Bordj Bou Arreridj‎; Bouira; Boumerdès; Constantine; El Oued; El Tarf; Guelma; Jijel; Khenchela; M'Sila; Mila; Oum El Bouaghi; Skikda; Souk Ahras; Sétif; Tizi Ouzou; Tébessa,4a9a64ba-27fb-435a-a29a-d0db636d32a5,b62fde8a-57bb-46f1-9908-38c673073243
Algeria,2,6,5.841063,f,24337033,24337033,0.861548,1,t,Adrar; Algiers; Aïn Defla; Aïn Témouchent; Blida; Béchar; Chlef; Djelfa; El Bayadh; Ghardaia; Illizi; Laghouat; Mascara; Mostaganem; Médéa; Naâma; Oran; Ouargla; Relizane; Saïda; Sidi Bel Abbès; Tamanrasset; Tiaret; Tindouf; Tipaza; Tissemsilt; Tlemcen,ca09e8e3-95a6-4cc0-9afb-4f4ff3302fd7,b62fde8a-57bb-46f1-9908-38c673073243
Andhra Pradesh,1,7,7.108709,f,28091745,28091745,0.747849,1,t,Anantapur; Chittoor; Guntur; Kadapa(YSR); Kurnool; Prakasam; Sri Potti Sriramulu Nellore,1f89509a-bc21-4b30-9642-fc2a39fa904d,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,2,6,5.891291,f,23280831,23280831,0.669686,2,t,East Godavari; Krishna; Srikakulam; Visakhapatnam; Vizianagaram; West Godavari; Yanam,f6dacb4e-543a-44cb-baba-6dabd9a24aad,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Anhui Province,1,5,4.985743,t,20067303,20067303,0.827859,1,t,Anqingshi; Chaohushi; Chaohushi; Dangtuxian; Dongzhixian; Fanchangxian; Gaochunxian; Guangdexian; Guichishi; Hanshanxian; Hexian; Huainingxian; Huangshanshi; Huangshanshi; Huoshanxian; Jiangpuxian; Jingdexian; Jingxian; Jixixian; Langxixian; Lujiangxian; Maanshanshi; Nanlingxian; Ningguoshi; Qianshanxian; Qimenxian; Qingyangxian; Shexian; Shitaixian; Shuchengxian; Susongxian; Taihuxian; Tongchengxian; Tonglingshi; Tonglingxian; Wangjiangxian; Wuhushi; Wuhuxian; Wuweixian; Xiuningxian; Xuanzhoushi; Yixian; Yuexixian; Zongyangxian,40414cf7-4e16-4993-bd4f-8c411d66107b,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Anhui Province,2,5,5.023164,f,20217919,20217919,0.767940,1,t,Bangbushi; Changfengxian; Chuzhoushi; Dingyuanxian; Feidongxian; Feixixian; Fengyangxian; Hefeishi; Huainanshi; Huoqiuxian; Jiashanxian; Jinzaixian; Laianxian; Liuanshi; Quanjiaoxian; Shouxian; Tianchangshi; Yingshangxian,d4133625-4247-45fb-b6b7-0610818b8e10,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Anhui Province,3,5,4.991092,t,20088832,20088832,0.758866,1,t,Bozhoushi; Dafengshi; Fengtaixian; Funanxian; Fuyangshi; Fuyangshi; Guzhenxian; Huaibeishi; Huaiyuanxian; Jieshoushi; Lingbixian; Lixingxian; Mengchengxian; Shuzhoushi; Suixixian; Suzhoushi; Taihexian; Woyangxian; Wuhexian; Xiaoxian,814d89bc-6814-47c4-91bd-ae1984fe39f2,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Argentina,1,5,4.988903,t,20835840,20835840,0.476031,3,t,Buenos Aires; Chubut; Ciudad Autónoma de Buenos Aires; Neuquén; Río Negro; Santa Cruz; Tierra del Fuego,93078ee0-f094-430b-99bc-cecf99f14919,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
