scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Alabama,1,5,4.998766,t,2374557,2374557,0.825039,4,t,Autauga; Baldwin; Barbour; Bibb; Bullock; Butler; Chambers; Chilton; Choctaw; Clarke; Coffee; Conecuh; Coosa; Covington; Crenshaw; Dale; Dallas; Elmore; Escambia; Geneva; Greene; Hale; Henry; Houston; Lee; Lowndes; Macon; Marengo; Mobile; Monroe; Montgomery; Perry; Pike; Russell; Shelby; Sumter; Tallapoosa; Tuscaloosa; Washington; Wilcox,49ec8ba0-e6b1-4a6e-9b50-d34c2a2bd70f,407ef8b2-ad56-46a1-bdaa-e5ce80b3740e
Alabama,2,5,5.001234,f,2375729,2375729,0.863614,1,t,Blount; Calhoun; Cherokee; Clay; Cleburne; Colbert; Cullman; DeKalb; Etowah; Fayette; Franklin; Jackson; Jefferson; Lamar; Lauderdale; Lawrence; Limestone; Madison; Marion; Marshall; Morgan; Pickens; Randolph; St. Clair; Talladega; Walker; Winston,e67da0dc-dec4-4523-91bd-56d530196d57,407ef8b2-ad56-46a1-bdaa-e5ce80b3740e
Arizona,1,7,7.000000,f,3370933,3370933,0.885440,1,t,Apache; Cochise; Coconino; Gila; Graham; Greenlee; La Paz; Mohave; Navajo; Pima; Pinal; Santa Cruz; Yavapai; Yuma,3cc72c25-16f0-4c9a-8745-ae6ff0106250,cc9f21e4-618a-448e-8c85-1fc00cf5aa4a
California,1,7,6.980150,f,3432276,3432276,0.710017,2,t,Colusa; Contra Costa; Del Norte; Glenn; Humboldt; Lake; Marin; Mendocino; Napa; Siskiyou; Solano; Sonoma; Trinity; Yolo,cca207d1-e5e3-46bc-a6f6-8d863c96695c,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,2,7,7.091440,f,3486999,3486999,0.631925,1,t,Alpine; Amador; Butte; Calaveras; El Dorado; Lassen; Mariposa; Modoc; Mono; Nevada; Placer; Plumas; Sacramento; Shasta; Sierra; Sutter; Tehama; Tuolumne; Yuba,b47c5704-26c8-4117-9c0b-1f844572932d,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,3,6,5.827377,f,2865435,2865435,0.791613,1,t,Imperial; Riverside,b9ecf03f-1861-438d-87c2-71e4bd2ced08,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,4,7,7.353274,f,3615748,3615748,0.898222,1,t,San Diego,88fdb498-55ab-4d4d-b93d-b2e4d9040b43,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,5,7,7.105065,f,3493699,3493699,0.916053,1,t,Orange,b15ffcbf-6544-4690-8184-035e9ecf92f6,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,6,7,6.978641,f,3431534,3431534,0.763802,1,t,Inyo; Kern; San Bernardino,b036fc8d-f90c-4818-b4b5-cf8865cf0783,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,7,7,7.117096,f,3499615,3499615,0.549183,7,t,Fresno; Kings; San Luis Obispo; Santa Barbara; Tulare; Ventura,ee022cd9-7a82-4e95-b53d-5ef7023adc64,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,8,6,5.711889,f,2808647,2808647,0.575695,1,t,Madera; Merced; Monterey; San Benito; San Joaquin; Santa Cruz; Stanislaus,0d968d34-5cad-432b-9e99-c92d764089ca,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,9,6,6.064777,f,2982169,2982169,0.675500,1,t,San Mateo; Santa Clara,c296d346-c9e4-42f1-844d-8c54232fe4b6,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,10,6,5.770290,f,2837364,2837364,0.629657,3,t,Alameda; San Francisco,26c924c0-e453-4b3c-b189-9a79289683ba,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
Colorado,1,6,6.050069,f,2970640,2970640,0.702769,2,t,Adams; Arapahoe; Boulder; Denver; Douglas; Jefferson,d7e604f6-c5ba-4b96-b065-d115a53e256c,5804c271-502a-4fe9-8d98-20588076ba96
Colorado,2,5,4.949931,t,2430462,2430462,0.954303,2,t,Alamosa; Archuleta; Baca; Bent; Broomfield; Chaffee; Cheyenne; Clear Creek; Conejos; Costilla; Crowley; Custer; Delta; Dolores; Eagle; El Paso; Elbert; Fremont; Garfield; Gilpin; Grand; Gunnison; Hinsdale; Huerfano; Jackson; Kiowa; Kit Carson; La Plata; Lake; Larimer; Las Animas; Lincoln; Logan; Mesa; Mineral; Moffat; Montezuma; Montrose; Morgan; Otero; Ouray; Park; Phillips; Pitkin; Prowers; Pueblo; Rio Blanco; Rio Grande; Routt; Saguache; San Juan; San Miguel; Sedgwick; Summit; Teller; Washington; Weld; Yuma,e7191af5-35bf-4d44-acd1-2b5bfcd64e32,5804c271-502a-4fe9-8d98-20588076ba96
Cook,1,6,5.963516,f,2982548,2982548,0.862219,1,t,sub:Cook — drawn district 1 (pop 2982548),4a170ba0-9ecf-4f30-83d1-7ef1370061ec,e90487eb-9e89-489c-98ba-bd1e4f72164f
Cook,2,5,5.036484,f,2518909,2518909,0.868872,1,t,sub:Cook — drawn district 2 (pop 2518909),9f7907a4-a9e3-46a6-8ba6-def3e5f32524,e90487eb-9e89-489c-98ba-bd1e4f72164f
Florida,1,8,8.133587,f,4028713,4028713,0.668815,1,t,Alachua; Citrus; Hernando; Lake; Marion; Pasco; Pinellas; Seminole; Sumter,2a07172f-2fb9-4bf8-b4d9-82750901fdad,e291639e-ef3f-48a2-af2c-2384cd4aa184
Florida,2,9,9.020382,f,4467959,4467959,0.340434,10,t,Collier; Lee; Miami-Dade; Monroe,46a49afc-793a-4d6a-ba8e-0d8cd4fa0a58,e291639e-ef3f-48a2-af2c-2384cd4aa184
Florida,3,8,7.949856,f,3937708,3937708,0.706475,1,t,Brevard; Flagler; Indian River; Okeechobee; Orange; Osceola; Putnam; Volusia,6692b433-b30d-4a0d-99c8-09747e6b8b2d,e291639e-ef3f-48a2-af2c-2384cd4aa184
Florida,4,8,8.003369,f,3964214,3964214,0.845951,1,t,Charlotte; DeSoto; Glades; Hardee; Hendry; Highlands; Hillsborough; Manatee; Polk; Sarasota,8d7951f6-cfef-4f17-b297-60101bde14a3,e291639e-ef3f-48a2-af2c-2384cd4aa184
Florida,5,8,7.858755,f,3892584,3892584,0.632865,2,t,Baker; Bay; Bradford; Calhoun; Clay; Columbia; Dixie; Duval; Escambia; Franklin; Gadsden; Gilchrist; Gulf; Hamilton; Holmes; Jackson; Jefferson; Lafayette; Leon; Levy; Liberty; Madison; Nassau; Okaloosa; Santa Rosa; St. Johns; Suwannee; Taylor; Union; Wakulla; Walton; Washington,1ff6294d-f3c7-4b86-a015-a9583bfed2a5,e291639e-ef3f-48a2-af2c-2384cd4aa184
