scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Alabama,1,5,4.998766,t,2374557,2374557,0.825039,4,t,Autauga; Baldwin; Barbour; Bibb; Bullock; Butler; Chambers; Chilton; Choctaw; Clarke; Coffee; Conecuh; Coosa; Covington; Crenshaw; Dale; Dallas; Elmore; Escambia; Geneva; Greene; Hale; Henry; Houston; Lee; Lowndes; Macon; Marengo; Mobile; Monroe; Montgomery; Perry; Pike; Russell; Shelby; Sumter; Tallapoosa; Tuscaloosa; Washington; Wilcox,18f74eee-5283-4633-a1fa-bdfcfcb2accd,407ef8b2-ad56-46a1-bdaa-e5ce80b3740e
Alabama,2,5,5.001234,f,2375729,2375729,0.863614,1,t,Blount; Calhoun; Cherokee; Clay; Cleburne; Colbert; Cullman; DeKalb; Etowah; Fayette; Franklin; Jackson; Jefferson; Lamar; Lauderdale; Lawrence; Limestone; Madison; Marion; Marshall; Morgan; Pickens; Randolph; St. Clair; Talladega; Walker; Winston,528f4958-0533-4f3d-b73c-4cdfc7d1bced,407ef8b2-ad56-46a1-bdaa-e5ce80b3740e
Arizona,1,7,7.000000,f,3370933,3370933,0.885440,1,t,Apache; Cochise; Coconino; Gila; Graham; Greenlee; La Paz; Mohave; Navajo; Pima; Pinal; Santa Cruz; Yavapai; Yuma,d7693822-7ba5-43d9-9b36-76c8b173341d,cc9f21e4-618a-448e-8c85-1fc00cf5aa4a
California,1,8,8.147946,f,4006504,4006504,0.906523,1,t,Butte; Colusa; Del Norte; El Dorado; Glenn; Humboldt; Lake; Lassen; Mendocino; Modoc; Nevada; Placer; Plumas; Sacramento; Shasta; Sierra; Siskiyou; Sutter; Tehama; Trinity; Yolo; Yuba,c160bb00-7d46-4153-91df-f681dd8734cd,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,2,9,9.345839,f,4595531,4595531,0.759990,2,t,Alameda; Contra Costa; Marin; Napa; Solano; Sonoma,05b9cb2d-3888-4803-97d6-ee2c3c390ab4,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,3,9,8.636296,f,4246635,4246635,0.727534,3,t,San Francisco; San Mateo; Santa Clara; Santa Cruz,9e2bc9b3-4752-4954-ad5e-dd6a08b2f74a,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,4,8,7.744123,f,3807936,3807936,0.898135,1,t,Imperial; San Diego,71fb8e7d-a0b6-4cb2-8506-dbf253fad8b0,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,5,7,7.105065,f,3493699,3493699,0.916053,1,t,Orange,72f770b5-a51e-4652-80ee-845afd58c885,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,6,7,6.780506,f,4521522,3334107,0.844571,1,t,Alpine; Amador; Calaveras; Fresno; Madera; Mariposa; Merced; Mono; San Benito; San Joaquin; Stanislaus; Tuolumne,22349993-e644-42b1-be11-fa805d7c275d,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,7,8,7.917234,f,3893058,3893058,0.586076,7,t,Inyo; Kern; Kings; Monterey; San Luis Obispo; Santa Barbara; Tulare; Ventura,e7e9e2a7-91ce-47ac-a946-159e4945a7b8,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,8,5,4.886463,f,2402769,2402769,0.927519,1,t,San Bernardino,ee8e983c-044a-42bb-bff9-495f0735efb4,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,9,5,5.436529,f,2673247,2673247,0.943190,1,t,Riverside,876b05f3-64d8-4f10-8271-be99a3679634,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
Colorado,1,6,6.050069,f,2970640,2970640,0.702769,2,t,Adams; Arapahoe; Boulder; Denver; Douglas; Jefferson,e9ca0831-56b3-45bd-9a53-74eaccc0cabf,5804c271-502a-4fe9-8d98-20588076ba96
Colorado,2,5,4.949931,t,2430462,2430462,0.954303,2,t,Alamosa; Archuleta; Baca; Bent; Broomfield; Chaffee; Cheyenne; Clear Creek; Conejos; Costilla; Crowley; Custer; Delta; Dolores; Eagle; El Paso; Elbert; Fremont; Garfield; Gilpin; Grand; Gunnison; Hinsdale; Huerfano; Jackson; Kiowa; Kit Carson; La Plata; Lake; Larimer; Las Animas; Lincoln; Logan; Mesa; Mineral; Moffat; Montezuma; Montrose; Morgan; Otero; Ouray; Park; Phillips; Pitkin; Prowers; Pueblo; Rio Blanco; Rio Grande; Routt; Saguache; San Juan; San Miguel; Sedgwick; Summit; Teller; Washington; Weld; Yuma,6e79ba29-18cd-45c2-8258-06814ca53433,5804c271-502a-4fe9-8d98-20588076ba96
Cook,1,6,5.963516,f,2982548,2982548,0.862219,1,t,sub:Cook — drawn district 1 (pop 2982548),8cec9895-7c1f-4b2f-b3ef-9d58f550c9ab,e90487eb-9e89-489c-98ba-bd1e4f72164f
Cook,2,5,5.036484,f,2518909,2518909,0.868872,1,t,sub:Cook — drawn district 2 (pop 2518909),5796c047-2a7a-41b0-85d6-72d7335f307c,e90487eb-9e89-489c-98ba-bd1e4f72164f
Florida,1,9,8.926154,f,4421286,4421286,0.669892,2,t,Alachua; Baker; Bay; Bradford; Calhoun; Clay; Columbia; Dixie; Duval; Escambia; Flagler; Franklin; Gadsden; Gilchrist; Gulf; Hamilton; Holmes; Jackson; Jefferson; Lafayette; Leon; Levy; Liberty; Madison; Nassau; Okaloosa; Putnam; Santa Rosa; St. Johns; Suwannee; Taylor; Union; Wakulla; Walton; Washington,0041ff23-28b9-49f0-95c3-5f91a46a9857,e291639e-ef3f-48a2-af2c-2384cd4aa184
Florida,2,9,9.020382,f,4467959,4467959,0.340434,10,t,Collier; Lee; Miami-Dade; Monroe,323c05b7-934f-490d-8a7f-e2c7399ebf13,e291639e-ef3f-48a2-af2c-2384cd4aa184
Florida,3,8,7.986148,f,3955684,3955684,0.869974,1,t,Broward; Hendry; Palm Beach,bfefd48c-0dbd-46bb-a6e0-035508142731,e291639e-ef3f-48a2-af2c-2384cd4aa184
Florida,4,8,8.004474,f,3964761,3964761,0.677794,1,t,Charlotte; Hillsborough; Manatee; Pinellas; Sarasota,362c33cc-8f48-4dca-80c6-1cb27f272009,e291639e-ef3f-48a2-af2c-2384cd4aa184
Florida,5,8,7.740934,f,4026519,3834225,0.756195,1,t,Brevard; DeSoto; Glades; Hardee; Highlands; Indian River; Martin; Okeechobee; Orange; Osceola; St. Lucie,218c5d92-68d9-4af8-939a-0b560c8747fe,e291639e-ef3f-48a2-af2c-2384cd4aa184
Florida,6,8,8.321908,f,4121992,4121992,0.677896,2,t,Citrus; Hernando; Lake; Marion; Pasco; Polk; Seminole; Sumter; Volusia,8e2102ff-ea49-4f06-a7c2-422d123b3e19,e291639e-ef3f-48a2-af2c-2384cd4aa184
