map,scope,fingerprint,districts,scope_jurisdiction_id
Auto Map Draft 1,Afghanistan,b3bb72ef23aeb6ea7a2ae08d7bdfdea1,2,8a4860cf-4340-4464-8570-2130fde10320
Manual Map Draft 1,Afghanistan,b3bb72ef23aeb6ea7a2ae08d7bdfdea1,2,8a4860cf-4340-4464-8570-2130fde10320
Auto Map Draft 1,Algeria,fb135c50efaac75960ebf1ab523bb4da,2,b62fde8a-57bb-46f1-9908-38c673073243
Manual Map Draft 1,Algeria,da4f0fc7c493d0c48872f1e306ea0f5f,2,b62fde8a-57bb-46f1-9908-38c673073243
Auto Map Draft 1,Andhra Pradesh,3d018ffb54876fc055071bb40f39608c,2,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Manual Map Draft 1,Andhra Pradesh,3d018ffb54876fc055071bb40f39608c,2,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Auto Map Draft 1,Anhui Province,f889b48077a9007d4172267abe0ef5e8,3,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Manual Map Draft 1,Anhui Province,f889b48077a9007d4172267abe0ef5e8,3,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Auto Map Draft 1,Argentina,ea321881dd37a0e607b32266de53eaa7,2,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Manual Map Draft 1,Argentina,ea321881dd37a0e607b32266de53eaa7,2,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Auto Map Draft 1,Bangladesh,17bd4269cf1bf3b0bb58ecf189fa0b31,4,012617d0-cb99-4ad5-9623-d1279d3b7170
Manual Map Draft 1,Bangladesh,17bd4269cf1bf3b0bb58ecf189fa0b31,4,012617d0-cb99-4ad5-9623-d1279d3b7170
Auto Map Draft 1,Bihār,a993884c8e5ace63e4801d0c38cd24b9,4,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Manual Map Draft 1,Bihār,97e72a9a1d8dbf1df02dc95eca086694,4,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Auto Map Draft 1,Brazil,2cd933f0d96ba29b7c0f583014bbea9a,5,8865c0ea-20a4-4836-bd0b-aef668dcf660
Manual Map Draft 1,Brazil,84855045d03e1dc7ea1ccfc5d9f8f41a,5,8865c0ea-20a4-4836-bd0b-aef668dcf660
Auto Map Draft 1,California,24ebcf98255a76e877c37f4f12a02bb7,2,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
Manual Map Draft 1,California,24ebcf98255a76e877c37f4f12a02bb7,2,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
Auto Map Draft 1,Canada,ca480244e198327863921326594f36f5,2,70f5b9f3-48b5-4be7-8045-f62fb883343b
Manual Map Draft 1,Canada,b37b86d4653585fc1311033e4182fa90,2,70f5b9f3-48b5-4be7-8045-f62fb883343b
Auto Map Draft 1,China,c2b94fced7fefdb3a804fcf98e13c697,10,9cc5635f-f158-49c5-be62-9f0328ba2d66
Manual Map Draft 1,China,61f8d8f17b2dc0ebba55aa28ee291fca,10,9cc5635f-f158-49c5-be62-9f0328ba2d66
Auto Map Draft 1,Colombia,54310a92c1e388834a239d2b2d8d99ca,2,ee9fc592-86d7-4c57-ac1d-4de831c42310
Manual Map Draft 1,Colombia,54310a92c1e388834a239d2b2d8d99ca,2,ee9fc592-86d7-4c57-ac1d-4de831c42310
Auto Map Draft 1,Democratic Republic of the Congo,01032e9d2586226a2c7f87864729eaad,4,6fc76783-7fee-4ad3-9cf2-59fc5f93e7f8
Manual Map Draft 1,Democratic Republic of the Congo,01032e9d2586226a2c7f87864729eaad,4,6fc76783-7fee-4ad3-9cf2-59fc5f93e7f8
Auto Map Draft 1,Dhaka,c44e55b6904bea20e71a5fae9241a556,2,532d1ba8-7a54-451b-b7e0-fd8700db33c5
Manual Map Draft 1,Dhaka,c44e55b6904bea20e71a5fae9241a556,2,532d1ba8-7a54-451b-b7e0-fd8700db33c5
Auto Map Draft 1,Earth,68da59344cc0fe37c5c9468ee32947af,49,4dc3821a-f4c4-484c-90f9-64970c6818b0
Manual Map Draft 1,Earth,cb58c56b450d112f841f7248c3354cbc,49,4dc3821a-f4c4-484c-90f9-64970c6818b0
Auto Map Draft 1,East Java,d77e9dfb3ba49415f187b2a843c2160c,2,58fb1da5-8e0d-448f-abe5-f6983d7aa3c8
Manual Map Draft 1,East Java,d77e9dfb3ba49415f187b2a843c2160c,2,58fb1da5-8e0d-448f-abe5-f6983d7aa3c8
Auto Map Draft 1,Egypt,394ead36dfb292f0a35a72ed10375562,4,ea4a3117-f793-40ac-90f1-a46e44228583
Manual Map Draft 1,Egypt,394ead36dfb292f0a35a72ed10375562,4,ea4a3117-f793-40ac-90f1-a46e44228583
Auto Map Draft 1,England,88c770617d77ea384a4c6282acfaebb7,2,0036709e-5088-4a94-82de-143fcef70664
Manual Map Draft 1,England,88c770617d77ea384a4c6282acfaebb7,2,0036709e-5088-4a94-82de-143fcef70664
Auto Map Draft 1,Ethiopia,8448db27f329ca49fe9fa5d88de166cd,3,0972a719-c4c2-49dc-bad8-ce8a037ebb4e
Manual Map Draft 1,Ethiopia,8448db27f329ca49fe9fa5d88de166cd,3,0972a719-c4c2-49dc-bad8-ce8a037ebb4e
Auto Map Draft 1,France,d34af801a3067c3c3799b8a502cb0acc,2,5c7687fb-533c-4f8e-aed7-7128f366599d
Manual Map Draft 1,France,671715bc3a59115fe82ec8be7d8e0e2d,2,5c7687fb-533c-4f8e-aed7-7128f366599d
Auto Map Draft 1,Fujian Province,52ade86f20e5366dd6635cfea678cef9,2,a609304c-5000-4724-bbc5-7ac23678dd08
Manual Map Draft 1,Fujian Province,0203c127973ad104911240683eb63b6e,2,a609304c-5000-4724-bbc5-7ac23678dd08
Auto Map Draft 1,Germany,eba6576ad8747df85cfde4c8ab7cec19,3,9ec91104-492d-4653-afe4-82faabb4126a
Manual Map Draft 1,Germany,d08bce74336e01361c43ff9bfcf24ca7,3,9ec91104-492d-4653-afe4-82faabb4126a
Auto Map Draft 1,Guangxi Zhuang Autonomous Region,ce953b05de6cbe9df36b1f3ff33a559e,2,c0106560-83af-412a-8ecf-3a4cd802e4a0
