map,scope,districts,seats,frac_sum,fit_gap,noncontig,avg_chr,band_violations,floor_overrides,scope_jurisdiction_id
Auto Map Draft 1,Afghanistan,2,10,10.0000,0.0323,0,0.7374,0,1,8a4860cf-4340-4464-8570-2130fde10320
Manual Map Draft 1,Afghanistan,2,10,10.0000,0.0323,0,0.7374,0,1,8a4860cf-4340-4464-8570-2130fde10320
Auto Map Draft 1,Algeria,2,11,11.0000,0.0524,0,0.7850,0,0,b62fde8a-57bb-46f1-9908-38c673073243
Manual Map Draft 1,Algeria,2,11,11.0000,0.3179,0,0.8094,0,0,b62fde8a-57bb-46f1-9908-38c673073243
Auto Map Draft 1,Andhra Pradesh,2,13,13.0000,0.2174,0,0.7088,0,0,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Manual Map Draft 1,Andhra Pradesh,2,13,13.0000,0.2174,0,0.7088,0,0,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Auto Map Draft 1,Anhui Province,3,15,15.0000,0.0463,0,0.7849,0,2,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Manual Map Draft 1,Anhui Province,3,15,15.0000,0.0463,0,0.7849,0,2,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Auto Map Draft 1,Argentina,2,10,10.0000,0.0222,0,0.6258,0,1,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Manual Map Draft 1,Argentina,2,10,10.0000,0.0222,0,0.6258,0,1,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Auto Map Draft 1,Bangladesh,4,30,30.0000,1.0048,1,0.6411,0,0,012617d0-cb99-4ad5-9623-d1279d3b7170
Manual Map Draft 1,Bangladesh,4,30,30.0000,1.0048,1,0.6411,0,0,012617d0-cb99-4ad5-9623-d1279d3b7170
Auto Map Draft 1,Bihār,4,32,32.0000,0.2335,0,0.7032,0,0,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Manual Map Draft 1,Bihār,4,32,32.0000,0.5227,0,0.7214,0,0,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Auto Map Draft 1,Brazil,5,41,41.0000,1.5641,1,0.7159,0,0,8865c0ea-20a4-4836-bd0b-aef668dcf660
Manual Map Draft 1,Brazil,5,41,41.0000,1.5641,0,0.7368,0,0,8865c0ea-20a4-4836-bd0b-aef668dcf660
Auto Map Draft 1,California,2,11,11.0000,0.0573,0,0.6582,0,0,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
Manual Map Draft 1,California,2,11,11.0000,0.0573,0,0.6582,0,0,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
Auto Map Draft 1,Canada,2,10,10.0000,0.0044,1,0.4823,0,1,70f5b9f3-48b5-4be7-8045-f62fb883343b
