map,scope,districts,seats,frac_sum,fit_gap,noncontig,avg_chr,band_violations,floor_overrides,scope_jurisdiction_id
Initial Map (bootstrap),Alabama,2,10,10.0000,0.0025,0,0.8443,0,1,407ef8b2-ad56-46a1-bdaa-e5ce80b3740e
Manual Map Draft,Alabama,2,10,10.0000,0.0025,0,0.8443,0,1,407ef8b2-ad56-46a1-bdaa-e5ce80b3740e
Initial Map (bootstrap),Arizona,1,7,7.0000,0.0000,0,0.8854,0,0,cc9f21e4-618a-448e-8c85-1fc00cf5aa4a
Manual Map Draft,Arizona,1,7,7.0000,0.0000,0,0.8854,0,0,cc9f21e4-618a-448e-8c85-1fc00cf5aa4a
Initial Map (bootstrap),California,10,66,66.0000,1.4633,0,0.7142,0,0,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
Manual Map Draft,California,9,66,66.0000,2.0708,0,0.8344,0,0,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
Initial Map (bootstrap),Colorado,2,11,11.0000,0.1001,0,0.8285,0,1,5804c271-502a-4fe9-8d98-20588076ba96
Manual Map Draft,Colorado,2,11,11.0000,0.1001,0,0.8285,0,1,5804c271-502a-4fe9-8d98-20588076ba96
Initial Map (bootstrap),Cook,2,11,11.0000,0.0730,0,0.8655,0,0,e90487eb-9e89-489c-98ba-bd1e4f72164f
Manual Map Draft,Cook,2,11,11.0000,0.0730,0,0.8655,0,0,e90487eb-9e89-489c-98ba-bd1e4f72164f
Initial Map (bootstrap),Florida,6,50,50.0000,0.3828,0,0.6912,0,0,e291639e-ef3f-48a2-af2c-2384cd4aa184
Manual Map Draft,Florida,6,50,50.0000,0.6935,0,0.6654,0,0,e291639e-ef3f-48a2-af2c-2384cd4aa184
Initial Map (bootstrap),Georgia,3,23,23.0000,0.0182,0,0.8334,0,0,e004b3ce-73e8-46f7-a575-89ca8edb148c
Manual Map Draft,Georgia,3,23,23.0000,0.0182,0,0.8334,0,0,e004b3ce-73e8-46f7-a575-89ca8edb148c
Initial Map (bootstrap),Harris,2,10,10.0000,0.0025,0,0.8950,0,0,d8718216-beb7-4173-8f88-a4cdff5fb013
Manual Map Draft,Harris,2,10,10.0000,0.0025,0,0.8950,0,0,d8718216-beb7-4173-8f88-a4cdff5fb013
Initial Map (bootstrap),Illinois,2,16,16.0000,0.1318,0,0.7877,0,0,49d7c831-31e6-472d-9d0a-5036e8756445
Manual Map Draft,Illinois,2,16,16.0000,0.1318,0,0.7877,0,0,49d7c831-31e6-472d-9d0a-5036e8756445
Initial Map (bootstrap),Indiana,2,13,13.0000,0.0157,0,0.8590,0,0,0cd0f961-5721-4430-a2f1-8b980a437e7b
Manual Map Draft,Indiana,2,13,13.0000,0.0157,0,0.8590,0,0,0cd0f961-5721-4430-a2f1-8b980a437e7b
Initial Map (bootstrap),Los Angeles,3,22,22.0000,0.0092,1,0.6895,0,0,8a9fb9cc-c3e2-421d-a52d-b378e36b3ee4
Manual Map Draft,Los Angeles,3,22,22.0000,0.0092,1,0.6895,0,0,8a9fb9cc-c3e2-421d-a52d-b378e36b3ee4
Initial Map (bootstrap),Louisiana,2,10,10.0000,0.0323,0,0.7001,0,1,6fcdeab8-2d64-4709-ba75-c67f20a90622
